BeSS #,Name,RA,Dec,Vmag,SpecType,Simbad classification,Catalog memberships,Literature classification,Reference,epsi,sepsi,BP-RP,Parallax,Parallax_err,Gflux,Gflux_corrected,Gflux_err,Gmag,Gmag_corrected,Gmag_err,PM,PM_dec,pmdec_error,PM_RA,PM_RA_err,rgeo,rpgeo,Fluxb,Fluxh,Fluxm,Fluxs,Fluxu,Fluxw,HRhm,HRhs,HRms,NHGal,S_N,2CXO,2SXPS,CR0,E_CR0,e_CR0,SwiftHR1,SwiftHR2,CR1,e_CR1,CR2,E_CR2,e_CR2,CR3,E_CR3,e_CR3,PcstS0,FPO0,FPU0,Gam1,E_Gam1,e_Gam1,4XMM,Flux1,e_Flux1,Flux2,e_Flux2,Flux3,e_Flux3,Flux4,e_Flux4,Flux5,e_Flux5,Flux8,e_Flux8,Flux9,e_Flux9,HR1,e_HR1,HR2,e_HR2,HR3,e_HR3,HR4,e_HR4,2MASS,Jmag,Hmag,Kmag,e_Jmag,e_Hmag,e_Kmag,WISE,W1mag,e_W1mag,W2mag,e_W2mag,W3mag,e_W3mag
52,RX J0049.7-7323,12.42495833,-73.38741944,14.98,B2Ve,HMXB,"Gaia, Chandra, XMM, Swift, WISE, 2MASS",Be/XRB,http://articles.adsabs.harvard.edu/pdf/2000A%26A...359..573H,0.09,2.317,0.185655,-0.0301,0.0199,22713.9,22713.9,63.6131,14.796638,14.796638,0.004103,1.32,-1.209,0.025,0.53,0.022,22524.3223,27205.6895,3.64e-14,2.82e-14,6.32e-15,1.99e-15,0.0,,0.30106,0.5484100000000001,0.29482,4.58,58.367,J004942.0-732314,23322.0,0.0461,0.0012,-0.0012,0.657,0.481,0.0017,-0.000259,0.0104,0.000545,-0.000545,0.0296,0.000914,-0.000914,0.00E+00,4.24e-12,4.66e-12,4.69E-01,9.08E-02,-9.26E-02,J004942.2-732314,9.756830000000002e-16,2.76931e-16,5.07373e-15,5.37789e-16,4.5532e-14,1.6183199999999998e-15,1.14009e-13,4.3317799999999996e-15,5.58527e-13,2.46015e-14,7.60512e-13,2.5123099999999998e-14,1.36572e-13,3.2881300000000004e-15,0.781369,0.0406216,0.672771,0.018266900000000003," 0.141023"," 1.67773e-02",-0.024442,0.0186957,00494199-7323147,14.550999999999998,14.482,14.303,0.039,0.062,0.07200000000000001,J004941.97-732314.9,13.699000000000002,0.018000000000000002,13.544,0.015,12.848,
60,DZ Tuc,12.68620833,-73.2681,15.44,Be,HMXB,"Gaia, Chandra, XMM, Swift, WISE, 2MASS",Be/Xray pulsar,https://ui.adsabs.harvard.edu/abs/2006Ap%26SS.305..133L/abstract,0.064,0.7221,0.054705,-0.0248,0.0245,13699.1,13699.1,29.6074,15.345635,15.345635,0.003619,1.4480000000000002,-1.278,0.031,0.679,0.028,23639.7656,10989.6455,4.05e-13,3.5600000000000005e-13,3.77e-14,1.5999999999999998e-14,2.64e-14,,0.52467,0.64085,0.17489000000000002,4.83,66.336,J005044.6-731605,24913.0,0.018000000000000002,0.000734,-0.000734,0.594,0.461,0.0007769999999999999,-0.000187,0.00434,0.00035,-0.00035,0.0122,0.000586,-0.000586,4.71E-02,1.51e-12,1.64e-12,4.51E-01,1.34E-01,-1.40E-01,J005044.7-731605,8.749620000000001e-16,1.88117e-16,1.2416500000000001e-14,6.040569999999999e-16,5.702569999999999e-14,1.31247e-15,2.0563699999999998e-13,4.15008e-15,6.956189999999999e-13,2.05574e-14,9.690370000000002e-13,2.1061099999999998e-14,1.94001e-13,2.83623e-15,0.850844,0.026942599999999997,0.628668,0.016180200000000002," 0.120864"," 1.47305e-02",-0.073112,0.017265400000000004,00504470-7316054,15.296,15.299,14.806,0.045,0.1,0.113,J005044.53-731605.3,14.454,0.013,14.279000000000002,0.014,12.763,
66,SMC 25,12.96670833,-73.1761,14.45,Be,HMXB,"Gaia, Chandra, XMM, Swift, WISE, 2MASS",Be/Xray pulsar,https://ui.adsabs.harvard.edu/abs/2006AJ....132..919S/abstract,0.11,5.039,0.022547,-0.0247,0.0178,34738.5,34738.5,23.3263,14.335338,14.335338,0.00285,1.375,-1.215,0.021,0.643,0.022,27128.6328,18071.3828,5.7e-13,4.4e-13,6.84e-14,7.17e-14,1.03e-12,,0.35228000000000004,0.19613,-0.1674,5.03,50.777,J005152.0-731034,46407.0,0.0701,0.0035,-0.0035,0.332,0.185,0.00985,-0.00129,0.0217,0.00183,-0.00183,0.0319,0.0022600000000000003,-0.0022600000000000003,2.94E-03,4.4e-12,4.57e-12,1.00E+00,1.37E-01,1.00E+00,J005152.0-731033,1.6782400000000002e-14,7.23706e-16,8.16662e-14,1.58246e-15,1.69244e-13,2.38365e-15,4.4780600000000005e-13,6.557940000000001e-15,1.16929e-12,2.3304e-14,1.8916e-12,2.45248e-14,5.78084e-13,5.1925100000000004e-15,0.664199,0.0130507,0.29775300000000005,0.01052,-0.034882," 9.86319e-03",-0.193246,0.0114051,00515203-7310340,14.432,14.448,14.171,0.033,0.051,0.07200000000000001,J005151.96-731034.0,13.723,0.028,13.532,0.027000000000000003,12.461,
67,2E 0050.1-7247,12.97154167,-72.53013889,14.87,Be,HMXB,"Gaia, Chandra, Swift, WISE, 2MASS",Be/XRB,https://ui.adsabs.harvard.edu/abs/1997ApJ...484L.141I/abstract,0.282,22.63,-0.250686,0.0078,0.031,21378.0,21378.0,100.924,14.86245,14.86245,0.005819,1.479,-1.332,0.036000000000000004,0.6409999999999999,0.038,13345.4316,11738.6992,2.8999999999999996e-14,2.3e-14,4.27e-15,2.1699999999999998e-15,0.0,,0.37102,0.37726,0.0,6.83,11.609000000000002,J005153.0-723148,16639.0,0.0597,0.00105,-0.00105,0.208,0.22,0.011000000000000001,-0.000459,0.017,0.000551,-0.000551,0.0276,0.0007160000000000001,-0.0007160000000000001,0.00E+00,3.72e-12,3.7300000000000005e-12,"          ","           ","           ",,,,,,,,,,,,,,,,,,,,,,,,00515317-7231487,14.468,14.259,14.258,0.032,0.04,0.064,J005153.13-723149.0,14.67,0.018000000000000002,14.669,0.02,12.921,
69,X SMC X-3,13.02404167,-72.43421944,14.91,O9IVe,,"XMM, Swift",unconfirmed,no mentions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5225.0,0.0623,0.0005679999999999999,-0.0005679999999999999,0.603,0.355,0.00433,-0.000154,0.018000000000000002,0.000302,-0.000302,0.0378,0.000437,-0.000437,0.00E+00,4.82e-12,5.18e-12,7.69E-01,2.94E-02,-2.86E-02,J005205.6-722603,3.79174e-15,3.47721e-16,2.35984e-14,8.29232e-16,8.916039999999999e-14,1.64998e-15,3.12127e-13,5.15895e-15,8.5105e-13,2.07977e-14,1.29055e-12,2.1561599999999998e-14,3.16614e-13,3.5490499999999996e-15,0.662555,0.00456602,0.442941,0.0032729,-0.007716," 3.12410e-03",-0.290036,0.0032895,,,,,,,,,,,,,,
71,2E 0050.4-7335,13.05829167,-73.3219,14.67,Be,HMXB,"Gaia, Chandra, Swift, WISE, 2MASS",Be/XRB pulsar,https://ui.adsabs.harvard.edu/abs/2018cosp...42E2127M/abstract,0.0,0.0,0.166074,-0.0646,0.017,27987.1,27987.1,44.5053,14.569972,14.569972,0.003252,1.358,-1.192,0.019,0.6509999999999999,0.021,38760.6641,32283.7773,7.58e-16,0.0,4.49e-16,6.3e-16,0.0,,0.34978000000000004,-0.08868999999999999,-0.41849,4.74,5.625,J005214.0-731918,34857.0,0.467,0.00365,-0.00365,0.645,0.156,0.0379,-0.00102,0.179,0.0024,-0.0024,0.253,0.0027600000000000003,-0.0027600000000000003,0.00E+00,2.93e-11,3.38e-11,1.39E+00,2.72E-02,-2.39E-02,,,,,,,,,,,,,,,,,,,,,,,,00521398-7319187,14.4,14.253,14.107,0.032,0.053,0.065,J005213.99-731918.6,13.553,0.012,13.486,0.01,12.41,0.365
82,CXOU J005323.8-722715,13.34958333,-72.4542,16.19,Be,HMXB,"Gaia, Chandra, XMM, Swift, WISE, 2MASS",Be/Xray pulsar,https://ui.adsabs.harvard.edu/abs/2006AJ....132..919S/abstract,0.037000000000000005,0.1174,-0.146399,0.0096,0.0332,6320.93,6320.93,8.803980000000003,16.185415,16.185415,0.003143,1.474,-1.3230000000000002,0.042,0.65,0.04,15631.5186,11711.7617,2.42e-13,2.07e-13,2.4e-14,1.17e-14,3.87e-15,,0.4822,0.58963,0.14741,6.98,33.424,J005323.8-722715,4024.0,0.0115,0.00024,-0.00024,0.622,0.34600000000000003,0.000735,-6.92e-05,0.00339,0.000127,-0.000127,0.007120000000000001,0.000184,-0.000184,4.94E-11,8.71e-13,9.62e-13,8.22E-01,6.17E-02,-6.61E-02,J005323.8-722715,2.46548e-15,2.4863299999999996e-16,1.70091e-14,5.83203e-16,5.76202e-14,1.07695e-15,1.91054e-13,3.28613e-15,4.565449999999999e-13,1.16496e-14,7.24506e-13,1.22374e-14,1.98842e-13,2.37208e-15,0.732062,0.023803099999999997,0.523565,0.0139716," 0.084874"," 1.24369e-02",-0.236643,0.0138488,00532381-7227152,16.274,15.802,16.502,0.107,0.159,,,15.66286646684155,,15.348839042870344,,,
92,Cl* NGC 330 ELS 065055,13.48058333,-72.44591667,14.72,B1IIIe,HMXB,"Gaia, Chandra, XMM, Swift, WISE, 2MASS",X-ray pulsar,https://ui.adsabs.harvard.edu/abs/2007ATel.1316....1S/abstract,0.104,3.471,0.025461,-0.0412,0.0191,25645.9,25645.9,31.1138,14.664824,14.664824,0.003054,1.408,-1.234,0.023,0.6779999999999999,0.024,25483.3027,22598.0684,6.7e-15,3.56e-15,1.5e-15,1.67e-15,0.0,,-0.034980000000000004,-0.30981,-0.27608,6.97,7.359,J005355.3-722645,3609.0,1.15,0.00937,-0.00937,0.527,0.34600000000000003,0.101,-0.00283,0.33,0.00499,-0.00499,0.679,0.00717,-0.00717,0.00E+00,9.04e-11,9.41e-11,7.14E-01,2.51E-02,-2.52E-02,J005355.5-722644,4.28066e-16,1.44298e-16,1.51625e-15,2.2385000000000003e-16,5.33826e-16,1.72027e-16,1.16369e-15,3.93096e-16,1.01401e-15,1.29417e-15,6.48374e-15,1.50648e-15,4.96288e-15,5.283140000000001e-16,0.726733,0.0227045,0.496659,0.0146179," 0.078942"," 1.33539e-02",-0.105014,0.0158068,00535518-7226448,14.413,14.214,13.998,0.036000000000000004,0.056,0.069,J005355.13-722644.9,13.454,0.013,13.402,0.012,,
117,Cl* NGC 330 ELS 016486,13.69341667,-72.42298889,15.58,B1IIIe,HMXB,"Gaia, Chandra, XMM, Swift, WISE, 2MASS",X-ray pulsar?,https://ui.adsabs.harvard.edu/abs/2010ATel.2998....1S/abstract,0.096,1.479,0.085011,-0.036000000000000004,0.0265,12077.7,12077.7,9.83213,15.482404999999998,15.482404999999998,0.0028940000000000003,1.43,-1.247,0.031,0.6990000000000001,0.031,18205.9082,24066.2871,2.42e-14,2.04e-14,3.4e-15,1.2e-15,0.0,,0.36227,0.61087,0.3148,6.98,11.22,J005446.3-722522,3157.0,0.00126,0.000118,-0.000118,0.158,0.402,0.000155,-6.159999999999999e-05,0.000333,6.05e-05,-6.05e-05,0.000789,8.6e-05,-8.6e-05,9.41E-11,1.5399999999999992e-13,1.55e-13,"          ","           ","           ",J005446.3-722523,1.1962999999999998e-16,8.4906e-17,7.24248e-16,1.63686e-16,2.52316e-15,2.6341799999999996e-16,1.80146e-14,1.0792e-15,5.46261e-14,5.4094e-15,8.009019999999999e-14,5.58216e-15,2.2547e-14,8.871909999999999e-16,0.835946,0.0831672,0.78198,0.027322199999999998," 0.195384"," 2.43039e-02"," 0.003597",0.0263563,00544633-7225228,15.293,15.205,14.84,0.059,0.093,0.12,J005446.31-722522.9,14.454,0.016,14.309,0.017,12.629,
164,2E 0054.4-7237,14.02170833,-72.3667,15.88,Be,,"XMM, Swift",Be/Xray pulsar,https://ui.adsabs.harvard.edu/abs/2006AJ....132..919S/abstract,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5767.0,0.000505,0.000232,-0.000232,-0.078,0.321,0.0,0.0,0.000129,0.000113,-0.000113,0.000377,0.00015,-0.00015,8.00E-01,2.4e-14,3.05e-14,"          ","           ","           ",J005605.5-722159,8.21068e-17,1.20375e-16,2.14661e-16,1.74134e-16,3.18965e-15,4.1922199999999997e-16,9.714449999999999e-15,1.19583e-15,1.04863e-14,3.5144100000000002e-15,2.88835e-14,4.1236600000000004e-15,9.836459999999999e-15,8.97966e-16,0.42768999999999996,0.415311,0.881626,0.0800239," 0.055846"," 8.11863e-02",-0.489517,0.08269850000000001,,,,,,,,,,,,,,
