#,Be star,Vmag,Type,vsini,RA,Dec,Plx,pmRA,pmDE,epsi,sepsi,Gmag,BPmag,RPmag,Tefftemp,Gflux,rpgeo,b_rpgeo,B_rpgeo,W1,e_W1,W2,e_W2,W3,e_W3,W4,e_W4,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,HR1,HR2,N_H,Flux (0.3-1 keV),Flux (1-2 keV),Flux (2-10 keV),X-ray source,Gamma
43,RX J0048.5-7302,14.84,Be,,12.14375,-73.04166944444444,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.49900000000000005,0.336,,9.313733838057517e-15,2.7866840365764904e-14,5.606942579617758e-14,XRT,0.7182999849319458
50,RX J0049.5-7310,16.51,Be,,12.373291666666667,-73.1822,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7070000000000001,0.5319999999999999,,4.552620409763219e-14,2.652328682411541e-13,8.682409276612138e-13,XRT,0.38449999690055847
52,RX J0049.7-7323,14.98,B2Ve,,12.424958333333333,-73.38741944444445,-0.0301,0.53,-1.209,0.09,2.32,14.796638,14.840578,14.654923,,3.019644133440745e-15,,,,13.699000358581543,0.017999999225139618,13.543999671936035,0.014999999664723873,12.847999572753906,,9.24899959564209,,14.551,0.039,14.482,0.062,14.303,0.072,-0.6400548362601204,-0.5421896416120289,82.7318,3.912348955952237e-14,8.586487807743175e-15,2.548962173321205e-15,CXO,2.02198
60,DZ Tuc,15.44,Be,,12.686208333333333,-73.2681,-0.0248,0.679,-1.278,0.064,0.722,15.345635,15.346321,15.291616,,1.821197158996879e-15,,,,,,,,,,,,15.296,0.045,15.299,0.1,14.806,0.113,-0.761738039077355,-0.2798857358276444,29.4956,3.4533891629835183e-13,4.670451880759648e-14,2.6277806880086525e-14,CXO,0.890331
66,SMC 25,14.45,Be,,12.966708333333333,-73.1761,-0.0247,0.643,-1.215,0.11,5.04,14.335338,14.31789,14.295343,,4.6182321908483226e-15,18071.3828,13905.2061,22709.0586,13.722999572753906,0.02800000086426735,13.531999588012695,0.027000000700354576,,,,,14.432,0.033,14.448,0.051,14.171,0.072,-0.6775164810863603,0.13652838930947042,3.41153e-06,4.4675902182577477e-13,8.588435528901038e-14,1.1304367946207433e-13,CXO,1.05488
67,2E 0050.1-7247,14.87,Be,,12.971541666666667,-72.53013888888889,0.0078,0.641,-1.332,0.282,22.6,14.86245,14.718246,14.968932,,2.842045091823906e-15,,,,14.538039034024886,0.006302639097323495,14.418253184339408,0.016256597020187377,,,,,14.468,0.032,14.259,0.04,14.258,0.064,-0.6534276669653649,-0.2778473773964303,30.0127,2.6351895588677545e-14,5.5235787549237826e-15,3.1215518805952773e-15,CXO,1.44646
69,X SMC X-3,14.91,O9IVe,,13.024041666666667,-72.43421944444444,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.6275314598652931,0.44856094799036306,,3.72795874601545e-15,8.53161604584721e-16,2.2411480982754646e-15,CXO,0.7684999704360962
71,2E 0050.4-7335,14.67,Be,,13.058291666666667,-73.3219,-0.0646,0.651,-1.192,0.0,0.0,14.569972,14.611802,14.445728,,3.7206786666239725e-15,,,,13.553000450134277,0.012000000104308128,13.486000061035156,0.009999999776482582,12.40999984741211,0.36500000953674316,8.977999687194824,,14.4,0.032,14.253,0.053,14.107,0.065,1.0,0.14181931896503117,,0.0,6.087356701603824e-16,8.09929847749541e-16,CXO,
73,2E 0051.1-7214,15.53,Be,,13.23,-71.9683,-0.077,0.703,-1.228,0.0,0.0,15.465887,15.457437,15.42253,,1.6302573397000823e-15,,,,14.618000030517578,0.014000000432133675,14.42199993133545,0.014999999664723873,12.892999649047852,,9.336999893188477,,,,,,,,0.45999999999999996,0.264,,2.1109327674351307e-13,5.707336741583872e-13,9.801730490980997e-13,XRT,0.8792999982833862
82,CXOU J005323.8-722715,16.19,Be,,13.349583333333333,-72.4542,0.0096,0.65,-1.323,0.037,0.117,16.185415,16.124111,16.27051,,8.403205109693695e-16,,,,,,,,,,,,16.274,0.107,15.802,0.159,16.502,,-0.7411044341883105,-0.21222485953897893,26.4723,2.0024421076422994e-13,2.977554776631708e-14,1.9349905373855303e-14,CXO,0.886785
92,Cl* NGC 330 ELS 065055,14.72,B1IIIe,420.0,13.480583333333334,-72.44591666666666,-0.0412,0.678,-1.234,0.104,3.47,14.664824,14.632143,14.606682,,3.409426749162763e-15,,,,,,,,,,,,,,,,,,-0.2812261423665253,0.22205052727638203,,3.2784243270516964e-15,1.839211379313441e-15,2.8891455225154708e-15,CXO,0.7143999934196472
117,Cl* NGC 330 ELS 016486,15.58,B1IIIe,496.0,13.693416666666666,-72.4229888888889,-0.036,0.699,-1.247,0.096,1.48,15.482405,15.45147,15.366459,,1.6056429034055254e-15,,,,14.454000473022461,0.01600000075995922,14.309000015258789,0.017000000923871994,,,,,15.293,0.059,15.205,0.093,14.84,0.12,-0.7209795597776754,-0.5051056421048127,95.6722,2.862733030050614e-14,4.6413161954515e-15,1.526112941231369e-15,CXO,2.05342
164,2E 0054.4-7237,15.88,Be,,14.021708333333333,-72.3667,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.869855941803075,0.7009917186577935,,2.2200319604703514e-16,3.18965e-15,1.814521059772061e-14,XMM,
217,gam Cas,2.47,B0IVpe,432.0,14.177208333333333,60.716741666666664,,,,2.042,2970.0,2.064583,2.725843,2.315109,,3.739191985160192e-10,,,,1.51329099477636,43.917814285176334,0.5340458030539743,0.0010573547692365938,0.3619999885559082,0.11999999731779099,-0.28700000047683716,0.009999999776482582,2.039,0.238,1.993,0.182,1.756,0.23,0.3623644219261657,0.6679039332887905,,1.405802253927273e-11,3.00362e-11,1.5085242236431996e-10,XMM,
228,RX J0057.4-7325,15.67,Be,,14.3625,-73.42209722222222,0.0293,0.793,-1.286,0.072,0.726,15.625085,15.581367,15.631404,,1.4079167123422515e-15,,,,15.166618166607371,0.009900554835711227,15.201435252316916,0.029101403460498443,,,,,15.67,0.063,15.575,0.145,15.605,0.24,-0.7501779694858951,-0.04953376677040418,10.146,6.509710546882817e-13,9.292021355742792e-14,8.414929387416124e-14,CXO,0.698495
238,RX J0058.2-7231,14.9,Be,,14.552916666666667,-72.5125,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.749,0.288,,1.423197509078764e-13,9.91702168676796e-13,1.7939780804153276e-12,XRT,1.2369999885559082
248,[HP2004] 39,,Be,,15.125791666666668,-72.3431,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.6805739046430755,0.7823381256149339,,9.553717953426757e-16,5.02643e-15,4.11592422882734e-14,XMM,1.0529999732971191
254,RX J0101.0-7206,15.72,B3.5Ve,,15.263291666666666,-72.1158,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.32399999999999995,0.45299999999999996,,4.9086101667057686e-14,9.613905119405973e-14,2.553748471388826e-13,XRT,
258,RX J0101.3-7211,15.49,Be,,15.336708333333334,-72.1886,-0.0272,0.79,-1.24,0.217,6.59,15.589946,15.498016,15.68626,,1.4542282068376173e-15,,,,,,,,,,,,,,,,,,0.5899785668807519,0.8859533649128085,,6.973294988956376e-15,2.7041e-14,4.471685192782576e-13,XMM,
271,RX J0105.5-7221,15.15,Be,,16.148,-72.36328055555556,0.0193,0.778,-1.272,0.147,4.61,15.121189,15.120734,15.068729,,2.2394190286746752e-15,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,CXO,
287,XTE J0111-7317,15.52,B1IVe,,17.785,-73.2794,-0.0879,1.01,-1.236,0.0,0.0,15.436142,15.429562,15.413126,,1.675537546223033e-15,24033.5781,20719.3652,28115.7188,,,,,,,,,,,,,,,0.25306526241795524,0.7704642016750404,,2.0090544238981583e-15,3.37041e-15,2.5996773895458654e-14,XMM,
336,ACHERNAR,0.5,B6Vpe,235.0,24.428541666666668,-57.23675277777778,,,,,,,,,,,,,,,,,,,,,,0.815,0.254,0.865,0.32,0.88,0.33,-0.5925346005333445,-0.5166463260691057,,3.4718169995200667e-13,8.88298e-14,2.8309968808502675e-14,XMM,
382,V831 Cas,11.34,B1IVe,,26.750708333333332,61.35658055555555,0.328,-1.029,-0.082,0.184,65.0,11.215371,11.629826,10.599628,,8.174525711292856e-14,2740.13037,2597.42285,2877.87402,9.154999732971191,0.014000000432133675,8.986000061035156,0.008999999612569809,8.628000259399414,0.023000000044703484,7.802000045776367,0.1589999943971634,9.899,0.027,9.7,0.036,9.486,0.02,0.7366295745310554,0.7765285976692202,,2.7045282870894346e-13,1.78333e-12,1.4176922465416905e-11,XMM,-0.720300018787384
465,V782 Cas,7.622,B6IIe,,32.18933333333334,65.037425,1.1826,1.69,-3.572,0.319,110.0,7.489314,7.69611,7.083958,,2.5286304541050346e-12,827.184937,803.151489,849.214172,6.046198198518352,0.000358608282930083,5.365634359671244,0.0006858550231548451,4.836999893188477,0.014999999664723873,4.107999801635742,0.020999999716877937,6.661,0.035,6.45,0.024,6.199,0.023,0.8925859509460187,0.9770310211046584,,4.1753023694376654e-15,7.35669e-14,6.3321945694330746e-12,XMM,
512,BD+56 511,9.11,B3IIIe,,34.699666666666666,57.06724722222222,0.3865,-0.137,-1.015,0.109,17.8,9.020182,9.215045,8.656334,,6.173595407210837e-13,2416.52417,2318.93555,2568.09937,7.783999919891357,0.008999999612569809,7.74399995803833,0.007000000216066837,7.285999774932861,0.017999999225139618,6.584000110626221,0.07400000095367432,8.298,0.043,8.188,0.046,8.095,0.024,1.0,-0.37732086402941317,,0.0,2.0349389040770882e-16,9.199846104390345e-17,CXO,
516,Cl* NGC 869 LAV 1039,12.37,B3e,,34.78566666666667,57.06363888888889,0.4988,-0.701,-0.933,0.599,665.0,12.309223,12.52021,11.834487,,2.984844866512216e-14,1763.36694,1603.75244,1969.05298,10.337425166922975,0.0006558758047984036,10.014540894796806,0.0011828137726260857,,,,,,,,,,,1.0,0.08253048143887624,,0.0,3.767165724668109e-16,4.444912493638677e-16,CXO,
520,HD 14162,9.37,Be,,34.864374999999995,57.13837777777778,0.4006,-0.59,-1.089,0.084,11.5,9.285574,9.479526,8.926943,,4.8348317358168e-13,2326.17798,2239.32764,2410.57812,8.489385266291249,0.00026675269716692037,8.491898608625073,0.0005512877030941855,,,,,,,,,,,1.0,0.039937486257867694,,0.0,3.0462978932097695e-16,3.2997428064440636e-16,CXO,
536,NGC 884 2079,9.61,Be,,35.42883333333334,57.30806111111111,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.02883754764357528,-0.20407909722611134,,1.346089781364999e-15,1.27063e-15,8.399124102572743e-16,XMM,
597,V615 Cas,10.8,B0Ve,,40.13195833333333,61.22933611111111,0.3776,-0.423,-0.256,0.07,8.11,10.402225,10.956625,9.673551,,1.7287053026285216e-13,2473.95679,2406.57007,2544.85718,7.335999965667725,0.007000000216066837,7.2870001792907715,0.006000000052154064,6.9629998207092285,0.017000000923871994,6.552999973297119,0.0689999982714653,8.621,0.024,8.228,0.021,7.917,0.023,-0.790107542842487,-0.580920142081887,,2.343021789117042e-12,2.747223776904898e-13,7.28250668359776e-14,CXO,1.5390000343322754
651,HD 237056,8.9,B0.5Vpe,,45.657833333333336,57.61279444444445,0.8836,-0.434,-0.554,0.193,37.2,8.376163,8.731124,7.748621,,1.117238168382123e-12,1109.54883,1080.85461,1136.05103,7.156000137329102,0.02500000037252903,6.86899995803833,0.017000000923871994,7.307000160217285,0.01899999938905239,7.09499979019165,0.11699999868869781,7.534,0.035,7.381,0.031,7.288,0.023,0.6460000000000001,0.29500000000000004,,4.0413826353848716e-14,1.8791287621026833e-13,3.4517329743588295e-13,XRT,0.9991000294685364
663,HD 19818,9.06,B9.5Vne,,47.108666666666664,-59.37371666666667,3.3128,0.11,17.207,0.233,59.8,9.026817,9.097452,8.857716,,6.135983232292465e-13,,,,8.116999626159668,0.012000000104308128,8.083000183105469,0.00800000037997961,7.877999782562256,0.017999999225139618,7.554999828338623,0.10400000214576721,8.486,0.02,8.232,0.055,8.113,0.029,-0.12099999999999995,-0.365,,5.295743279306239e-13,4.152505211873492e-13,1.931751508820269e-13,XRT,2.2760000228881836
682,GSC 02342-00359,14.25,B5e,,52.293000000000006,31.366530555555556,,,,2.231,712.0,14.61073,15.517612,12.499799,,3.583595348062059e-15,,,,4.875,0.029999999329447746,4.474999904632568,0.013000000268220901,-1.559000015258789,0.3070000112056732,-2.76200008392334,0.0010000000474974513,,,,,,,-0.5589612259415437,-0.7908128747715837,134.219,4.170764914976987e-13,1.1799325181269429e-13,1.3782941529386984e-14,CXO,3.17253
