#,name_BeSS,mag_BeSS,type_BeSS,_RAJ2000_BeSS,_DEJ2000_BeSS,_2CXO,_4XMM,_2SXPS,Flag_x,_RAJ2000_X,_DEJ2000_X,X_pos,Flux (s band),Flux (m band),Flux (h band),X_flux,Gamma,_RAJ2000_gaia,_DEJ2000_gaia,pmRA,e_pmRA,pmDE,e_pmDE,epsi,sepsi,RUWE,Gmag,e_Gmag,BPmag,e_BPmag,RPmag,e_RPmag,rgeo,b_rgeo,B_rgeo,rpgeo,b_rpgeo,B_rpgeo,abs_BPmag,W1,e_W1,W2,e_W2,W3,e_W3,W4,e_W4,_2MASS,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,dist,HR_hms,HR_hm,HR_ms,Gflux,Flux (b band),LX,X-O-fluxratio,BP-RP,ebv,nH,main_type,main_id,Memberships,Class
43,RX J0048.5-7302,14.84,Be,12.14217,-73.04203,J004834.0-730230,J004834.1-730232,52922.0,CXO+XMM+XRT,12.141821385,-73.041914941,CXO,0.0,0.0,0.0,CXO,0.7182999849319458,12.1421695916234,-73.0420303926056,0.814,0.03799999877810478,-1.202,0.03099999949336052,0.235,16.0,0.993,14.787925,0.003112,14.783821,0.004885,14.66787,0.005961,19029.1699,14444.2422,24856.0352,16394.4062,11669.7773,22842.5352,-1.6132782184418168,13.96399974822998,0.017999999225139618,13.72700023651123,0.014000000432133675,12.777000427246094,,9.34000015258789,,00483409-7302312,14.703,0.046,14.622,0.053,14.437,0.075,19029.1699,-0.33333333333333337,0.0,0.0,1.2318090706911198e-11,0.0,0.0,0.0,0.11595099999999903,0.3213537487513983,5.112949162391541,HMXB,LIN 110,"CSC,XMM,XRT,Gaia,2MASS,WISE",HMXB
48,RX J0049.2-7311,16.51,Be,12.306773,-73.193853,J004913.5-731137,J004913.5-731137,,CXO+XMM,12.306609203,-73.193815843,CXO,6.1156454173399e-15,2.1057212853247e-14,1.9938320933322e-13,CXO,1.23578,12.306773051889,-73.1938526974673,0.5,0.04600000008940697,-1.244,0.0430000014603138,0.0,0.0,0.992,16.404427,0.002906,16.492868,0.005837,16.216297,0.005369,11068.458,8620.13672,15595.542,9067.24121,8236.38379,9871.73828,1.272432392777679,15.185999870300293,0.014000000432133675,15.161999702453613,0.023000000044703484,,,,,00491360-7311378,16.106,0.09,15.858,0.17,15.884,,11068.458,0.7601224407010292,0.808953252362808,0.5498710252384642,2.779345887662043e-12,2.2655606760380691e-13,3.321633013439339e+33,0.08151416799525572,0.27657100000000057,0.2708247667408111,4.76007502914538,HMXB,RX J0049.2-7311,"CSC,XMM,Gaia,2MASS,WISE",HMXB
50,RX J0049.5-7310,16.51,Be,12.374212,-73.182921,J004929.7-731058,J004929.8-731059,26395.0,CXO+XMM+XRT,12.374059827,-73.182853791,CXO,6.6978176116432e-15,2.7463462390203e-14,3.0672535580135e-13,CXO,0.895418,12.3741886718539,-73.1829174867901,1.519,0.14300000667572021,-0.803,0.13199999928474426,1.32,144.0,3.31,16.201807,0.003264,16.221954,0.005059,15.949686,0.006047,5506.32373,4095.96826,9682.07422,3487.76782,2732.50659,3959.38037,2.517645294880886,14.529000282287598,0.014999999664723873,14.390000343322754,0.014999999664723873,,,,,00492984-7310583,15.586,0.106,15.294,0.109,15.012,0.164,5506.32373,0.7995739555975525,0.8356410454495742,0.607870805117301,3.3495818743695416e-12,3.4088663580319614e-13,1.2369016387406007e+33,0.10176990698797528,0.2722680000000004,0.27179091498633157,4.787514664209692,HMXB,[MA93]  300,"CSC,XMM,XRT,Gaia,2MASS,WISE",HMXB
52,RX J0049.7-7323,14.98,B2Ve,12.424958333333333,-73.38741944444445,J004942.0-732314,J004942.2-732314,,CXO+XMM,12.42500346,-73.387415107,CXO,1.9918265552461e-15,6.3152514844405e-15,2.8232364839924e-14,CXO,2.02198,12.425032528725,-73.3874101063203,0.53,0.02199999988079071,-1.209,0.02500000037252903,0.09,2.319999933242798,1.035,14.796638,0.004103,14.840578,0.008287,14.654923,0.011583,22524.3223,17164.3086,28180.7051,27205.6895,18131.4688,34078.1172,-1.9226806651149815,13.699000358581543,0.017999999225139618,13.543999671936035,0.014999999664723873,12.847999572753906,,9.24899959564209,,00494199-7323147,14.551,0.039,14.482,0.062,14.303,0.072,22524.3223,0.5453089929664999,0.6344030554729354,0.5204507419503561,1.2219633988345715e-11,3.65394428796106e-14,2.2185391390400742e+33,0.0029902240046190847,0.18565500000000057,0.20459166098947387,4.260338429933559,HMXB,LIN 139,"CSC,XMM,Gaia,2MASS,WISE",HMXB
60,DZ Tuc,15.44,Be,12.686208333333331,-73.2681,J005044.6-731605,J005044.7-731605,24913.0,CXO+XMM+XRT,12.686215047,-73.268134447,CXO,1.5959001742418e-14,3.7660337699568e-14,3.5645530817867e-13,CXO,0.890331,12.6862831109248,-73.2681750456134,0.679,0.02800000086426735,-1.278,0.03099999949336052,0.064,0.722000002861023,0.987,15.345635,0.003619,15.346321,0.0074,15.291616,0.007578,23639.7656,15648.8574,39283.1875,10989.6455,9595.06348,14631.5654,-1.5218948299269606,14.454000473022461,0.013000000268220901,14.279000282287598,0.014000000432133675,12.762999534606934,,9.187000274658203,,00504470-7316054,15.296,0.045,15.299,0.1,14.806,0.113,23639.7656,0.7384898590873771,0.8088868681391901,0.4047296401446718,7.369862712331967e-12,4.1007464762065596e-13,2.7425273028243355e+34,0.055642101301897985,0.054705000000000226,0.23434877040430263,4.575559769157132,HMXB,V* DZ Tuc,"CSC,XMM,XRT,Gaia,2MASS,WISE",HMXB
66,SMC 25,14.45,Be,12.966708333333331,-73.1761,J005152.0-731034,J005152.0-731033,46407.0,CXO+XMM+XRT,12.966978554,-73.17621813,CXO,7.1651962123379e-14,6.8430614320308e-14,4.3963088082397e-13,CXO,1.05488,12.9667710499964,-73.1761500185535,0.643,0.02199999988079071,-1.215,0.020999999716877937,0.11,5.039999961853027,1.037,14.335338,0.00285,14.31789,0.003066,14.295343,0.004143,27128.6328,20173.7871,34559.5469,18071.3828,13905.2061,22709.0586,-2.849249536007127,13.722999572753906,0.02800000086426735,13.531999588012695,0.027000000700354576,12.461000442504883,,9.47700023651123,,00515203-7310340,14.432,0.033,14.448,0.051,14.171,0.072,27128.6328,0.5167178726402756,0.7306207418813534,-0.02299606335671567,1.868866149504165e-11,5.79713457267657e-13,5.105883530150112e+34,0.03101952793256289,0.02254699999999943,0.24979958881299572,4.783714160371421,HMXB,LIN 193,"CSC,XMM,XRT,Gaia,2MASS,WISE",HMXB
67,2E 0050.1-7247,14.87,Be,12.971541666666663,-72.53013888888889,J005153.0-723148,J005153.2-723146,16639.0,CXO+XMM+XRT,12.971246288,-72.53023991,CXO,2.1731608378626e-15,4.2694109139624e-15,2.3013655119467e-14,CXO,1.44646,12.9713995757856,-72.5302005290542,0.641,0.03799999877810478,-1.332,0.035999998450279236,0.282,22.600000381469727,1.279,14.86245,0.005819,14.718246,0.014218,14.968932,0.023374,13345.4316,9958.59473,17536.5703,11738.6992,9178.63086,15605.7158,-0.908417118593416,14.670000076293945,0.017999999225139618,14.668999671936035,0.019999999552965164,12.920999526977539,,8.515999794006348,0.2619999945163727,00515317-7231487,14.468,0.032,14.259,0.04,14.258,0.064,13345.4316,0.5625663952158161,0.6870285100119483,0.32537473494276425,1.1500941589726573e-11,2.9456226871292003e-14,6.2783290136861755e+32,0.0025612013278638263,-0.25068599999999996,0.24392464020251622,4.2131830270752095,HMXB,AzV 102,"CSC,XMM,XRT,Gaia,2MASS,WISE",HMXB
69,X SMC X-3,14.91,O9IVe,13.02345,-72.434514,J005205.6-722603,J005205.6-722603,5225.0,CXO+XMM+XRT,13.023399149,-72.434343041,CXO,1.3171534343028e-15,6.9385047018141e-16,3.9830125504711e-15,CXO,0.7684999704360962,13.02343817156,-72.4345079925074,0.775,0.024000000208616257,-1.255,0.027000000700354576,0.105,3.190000057220459,1.029,14.810769,0.003035,14.805577,0.005241,14.744729,0.00966,25974.2832,18337.9805,34372.375,22625.6289,18232.6758,25884.5879,-2.26714085687658,14.189000129699707,0.014000000432133675,14.083999633789062,0.014999999664723873,12.899999618530273,0.48399999737739563,9.22599983215332,,00520563-7226042,14.82,0.029,14.614,0.053,14.449,0.082,25974.2832,0.32899620159644577,0.703283817756713,-0.3099461730191206,1.2061624328016044e-11,5.9940164549553104e-15,4.839570057502101e+32,0.0004969493570640196,0.06084800000000001,0.2271976205854139,3.960302966009503,HMXB,LIN 198,"CSC,XMM,XRT,Gaia,2MASS,WISE",HMXB
71,2E 0050.4-7335,14.67,Be,13.058291666666666,-73.3219,J005214.0-731918,J005214.7-731916,205225.0,CXO+XMM+XRT,13.05853852,-73.321910468,CXO,6.3043756612218e-16,4.4861724484991e-16,0.0,CXO,1.194000005722046,13.05831540688,-73.3218924848569,0.651,0.020999999716877937,-1.192,0.01899999938905239,0.0,0.0,0.916,14.569972,0.003252,14.611802,0.007837,14.445728,0.005046,38760.6641,28344.5996,68027.3594,32283.7773,22519.4629,46015.2031,-3.3301540468078095,13.553000450134277,0.012000000104308128,13.486000061035156,0.009999999776482582,12.40999984741211,0.36500000953674316,8.977999687194824,,00521398-7319187,14.4,0.032,14.253,0.053,14.107,0.065,38760.6641,-0.9816354514038206,-0.9563906498837711,-0.16849961598194735,1.505651973717362e-11,1.07905481097209e-15,1.9401157065329908e+32,7.166694759533107e-05,0.16607400000000005,0.2086266189100139,4.473212622999569,HMXB,LIN 203,"CSC,XMM,XRT,Gaia,2MASS,WISE",HMXB
73,2E 0051.1-7214,15.53,Be,13.229999999999999,-71.9683,,J005255.3-715807,105304.0,XMM+XRT,13.23061611,-71.96886889,XMM,1.3708336725003821e-14,8.768727634282701e-14,1.0794370383191368e-12,XMM,0.8792999982833862,13.2302734057337,-71.968413282537,0.703,0.032999999821186066,-1.228,0.03200000151991844,0.0,0.0,0.933,15.465887,0.003031,15.457437,0.005681,15.42253,0.004763,28407.5859,20071.5488,40049.6484,24142.8984,16437.5957,30848.7246,-1.8097346429448873,14.618000030517578,0.014000000432133675,14.42199993133545,0.014999999664723873,12.892999649047852,,9.336999893188477,,00525528-7158063,15.375,0.049,15.156,0.082,14.952,0.127,28407.5859,0.8282642117852435,0.8497378981120378,0.729606906842541,6.5971840116305236e-12,1.1808326513869677e-12,1.1404039635079407e+35,0.17899040701384342,0.034907000000000465,0.1585805428138603,2.8524030766138333,HMXB,LIN 221,"XMM,XRT,Gaia,2MASS,WISE",HMXB
