BeSS #,Be star,Type,Simbad classification,Literature classification,Classification source,Vmag,vsini,RA,Dec,Plx,pmRA,pmDE,epsi,sepsi,Gmag,BPmag,RPmag,Tefftemp,Gflux,rpgeo,b_rpgeo,B_rpgeo,W1,e_W1,W2,e_W2,W3,e_W3,W4,e_W4,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,N_H,Gamma,HR1,HR2,Flux (0.3-1 keV),Flux (1-2 keV),Flux (2-10 keV),X-ray source
43,RX J0048.5-7302,Be,HMXB,Be/Xray pulsar,https://ui.adsabs.harvard.edu/abs/2016A%26A...586A..81H/abstract,14.84,,12.14375,-73.04167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7183,0.499,0.336,9.313734e-15,2.786684e-14,5.606943e-14,XRT
50,RX J0049.5-7310,Be,HMXB,Be/Xray pulsar,https://ui.adsabs.harvard.edu/abs/2017ApJ...839..119Y/abstract,16.51,,12.37329,-73.1822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.3845,0.707,0.532,4.55262e-14,2.652329e-13,8.682409e-13,XRT
52,RX J0049.7-7323,B2Ve,HMXB,Be/Xray pulsar,http://articles.adsabs.harvard.edu/pdf/2000A%26A...359..573H,14.98,,12.42496,-73.38742,-0.0301,0.53,-1.209,0.09,2.32,14.796638,14.840578,14.654923,,3.019644133440745e-15,,,,13.699,0.018,13.544,0.015,12.848,,9.249,,14.551,0.039,14.482,0.062,14.303,0.072,82.7318,2.022,-0.6401,-0.5422,3.912349e-14,8.586488e-15,2.548962e-15,CXO
60,DZ Tuc,Be,HMXB,Be/Xray pulsar,https://ui.adsabs.harvard.edu/abs/2006Ap%26SS.305..133L/abstract,15.44,,12.68621,-73.2681,-0.0248,0.679,-1.278,0.064,0.722,15.345635,15.346321,15.291616,,1.821197158996879e-15,,,,,,,,,,,,15.296,0.045,15.299,0.1,14.806,0.113,29.4956,0.8903,-0.7617,-0.2799,3.453389e-13,4.670452e-14,2.627781e-14,CXO
66,SMC 25,Be,HMXB,Be/Xray pulsar,https://ui.adsabs.harvard.edu/abs/2006AJ....132..919S/abstract,14.45,,12.96671,-73.1761,-0.0247,0.643,-1.215,0.11,5.04,14.335338,14.31789,14.295343,,4.618232190848322e-15,18071.3828,13905.2061,22709.0586,13.723,0.028,13.532,0.027,,,,,14.432,0.033,14.448,0.051,14.171,0.072,3.4115300000000003e-06,1.0549,-0.6775,0.1365,4.46759e-13,8.588436e-14,1.130437e-13,CXO
67,2E 0050.1-7247,Be,HMXB,Be/Xray pulsar,https://ui.adsabs.harvard.edu/abs/1997ApJ...484L.141I/abstract,14.87,,12.97154,-72.53014,0.0078,0.641,-1.332,0.282,22.6,14.86245,14.718246,14.968932,,2.8420450918239054e-15,,,,14.538,0.0063,14.4183,0.0163,,,,,14.468,0.032,14.259,0.04,14.258,0.064,30.0127,1.4465,-0.6534,-0.2778,2.63519e-14,5.523579e-15,3.121552e-15,CXO
69,X SMC X-3,O9IVe,HMXB,Be/Xray pulsar,https://ui.adsabs.harvard.edu/abs/2017A%26A...605A..39T/abstract,14.91,,13.02404,-72.43422,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.7685,-0.6275,0.4486,3.727959e-15,8.531616e-16,2.241148e-15,CXO
71,2E 0050.4-7335,Be,HMXB,Be/Xray pulsar,https://ui.adsabs.harvard.edu/abs/2018cosp...42E2127M/abstract,14.67,,13.05829,-73.3219,-0.0646,0.651,-1.192,0.0,0.0,14.569972,14.611802,14.445728,,3.720678666623973e-15,,,,13.553,0.012,13.486,0.01,12.41,0.365,8.978,,14.4,0.032,14.253,0.053,14.107,0.065,,,1.0,0.1418,0.0,6.087357e-16,8.099298e-16,CXO
73,2E 0051.1-7214,Be,HMXB,Be/Xray pulsar,https://ui.adsabs.harvard.edu/abs/2017ApJ...839..119Y/abstract,15.53,,13.23,-71.9683,,,,,,,,,,,,,,14.618,0.014,14.422,0.015,12.893,,9.337,,,,,,,,,0.8793,0.46,0.264,2.110933e-13,5.707337e-13,9.80173e-13,XRT
82,CXOU J005323.8-722715,Be,HMXB,Be/Xray pulsar,https://ui.adsabs.harvard.edu/abs/2006AJ....132..919S/abstract,16.19,,13.34958,-72.4542,0.0096,0.65,-1.323,0.037,0.117,16.185415,16.124111,16.27051,,8.403205109693696e-16,,,,,,,,,,,,16.274,0.107,15.802,0.159,16.502,,26.4723,0.8868,-0.7411,-0.2122,2.002442e-13,2.977555e-14,1.934991e-14,CXO
92,Cl* NGC 330 ELS 065055,B1IIIe,HMXB,Be/Xray pulsar,https://ui.adsabs.harvard.edu/abs/2007ATel.1316....1S/abstract,14.72,420.0,13.48058,-72.44592,-0.0412,0.678,-1.234,0.104,3.47,14.664824,14.632143,14.606682,,3.4094267491627634e-15,,,,,,,,,,,,,,,,,,,0.7144,-0.2812,0.2221,3.278424e-15,1.839211e-15,2.889146e-15,CXO
117,Cl* NGC 330 ELS 016486,B1IIIe,HMXB,Be/Xray pulsar,https://ui.adsabs.harvard.edu/abs/2010ATel.2998....1S/abstract,15.58,496.0,13.69342,-72.42299,-0.036,0.699,-1.247,0.096,1.48,15.482405,15.45147,15.366459,,1.6056429034055256e-15,,,,14.454,0.016,14.309,0.017,,,,,15.293,0.059,15.205,0.093,14.84,0.12,95.6722,2.0534,-0.721,-0.5051,2.862733e-14,4.641316e-15,1.526113e-15,CXO
164,2E 0054.4-7237,Be,HMXB,Be/Xray pulsar,https://ui.adsabs.harvard.edu/abs/2006AJ....132..919S/abstract,15.88,,14.02171,-72.3667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.8699,0.701,2.220032e-16,3.18965e-15,1.814521e-14,XMM
217,gam Cas,B0IVpe,Em*,gamma Cas type variable,https://ui.adsabs.harvard.edu/abs/1978ApJ...220..940P/abstract,2.47,432.0,14.17721,60.71674,,,,2.042,2970.0,2.064583,2.725843,2.315109,,3.739191985160192e-10,,,,1.5133,43.9178,0.534,0.0011,0.362,0.12,-0.287,0.01,2.039,0.238,1.993,0.182,1.756,0.23,,,0.3624,0.6679,1.405802e-11,3.00362e-11,1.508524e-10,XMM
228,RX J0057.4-7325,Be,HMXB,?,https://ui.adsabs.harvard.edu/abs/2000PASJ...52L..53Y/abstract,15.67,,14.3625,-73.4221,0.0293,0.793,-1.286,0.072,0.726,15.625085,15.581367,15.631404,,1.4079167123422515e-15,,,,15.1666,0.0099,15.2014,0.0291,,,,,15.67,0.063,15.575,0.145,15.605,0.24,10.146,0.6985,-0.7502,-0.0495,6.509711e-13,9.292021e-14,8.414929e-14,CXO
238,RX J0058.2-7231,Be,HMXB,Be/Xray pulsar,https://ui.adsabs.harvard.edu/abs/2017ApJ...839..119Y/abstract,14.9,,14.55292,-72.5125,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.237,0.749,0.288,1.423198e-13,9.917022e-13,1.793978e-12,XRT
248,[HP2004] 39,Be,HMXB,Be/Xray pulsar,https://ui.adsabs.harvard.edu/abs/2012IBVS.6030....1S/abstract,,,15.12579,-72.3431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.053,0.6806,0.7823,9.553718e-16,5.02643e-15,4.115924e-14,XMM
254,RX J0101.0-7206,B3.5Ve,HMXB,Be/Xray pulsar,https://ui.adsabs.harvard.edu/abs/2017ApJ...839..119Y/abstract,15.72,,15.26329,-72.1158,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.324,0.453,4.90861e-14,9.613905e-14,2.553748e-13,XRT
258,RX J0101.3-7211,Be,HMXB,Be/Xray pulsar,https://ui.adsabs.harvard.edu/abs/2001A%26A...369L..29S/abstract,15.49,,15.33671,-72.1886,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.59,0.886,6.973295e-15,2.7041e-14,4.471685e-13,XMM
271,RX J0105.5-7221,Be,HMXB,?,,15.15,,16.148,-72.36328,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,0.0,CXO
287,XTE J0111-7317,B1IVe,HMXB,Be/Xray pulsar,https://ui.adsabs.harvard.edu/abs/2006AJ....132..971S/abstract,15.52,,17.785,-73.2794,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.2531,0.7705,2.009054e-15,3.37041e-15,2.599677e-14,XMM
336,ACHERNAR,B6Vpe,Em*,Star,https://ui.adsabs.harvard.edu/abs/2003A%26A...407L..47D/abstract,0.5,235.0,24.42854,-57.23675,,,,,,,,,,,,,,,,,,,,,,0.815,0.254,0.865,0.32,0.88,0.33,,,-0.5925,-0.5166,3.471817e-13,8.88298e-14,2.830997e-14,XMM
382,V831 Cas,B1IVe,HMXB,?,,11.34,,26.75071,61.35658,0.328,-1.029,-0.082,0.184,65.0,11.215371,11.629826,10.599628,,8.174525711292856e-14,2740.13037,2597.42285,2877.87402,9.155,0.014,8.986,0.009,8.628,0.023,7.802,0.159,9.899,0.027,9.7,0.036,9.486,0.02,,-0.7203,0.7366,0.7765,2.704528e-13,1.78333e-12,1.417692e-11,XMM
465,V782 Cas,B6IIe,Em*,?,,7.622,,32.18933,65.03742,1.1826,1.69,-3.572,0.319,110.0,7.489314,7.69611,7.083958,,2.528630454105034e-12,827.184937,803.151489,849.214172,6.0462,0.0004,5.3656,0.0007,4.837,0.015,4.108,0.021,6.661,0.035,6.45,0.024,6.199,0.023,,,0.8926,0.977,4.175302e-15,7.35669e-14,6.332195e-12,XMM
512,BD+56 511,B3IIIe,Em*,?,,9.11,,34.69967,57.06725,0.3865,-0.137,-1.015,0.109,17.8,9.020182,9.215045,8.656334,,6.173595407210837e-13,2416.52417,2318.93555,2568.09937,7.784,0.009,7.744,0.007,7.286,0.018,6.584,0.074,8.298,0.043,8.188,0.046,8.095,0.024,,,1.0,-0.3773,0.0,2.034939e-16,9.199846e-17,CXO
516,Cl* NGC 869 LAV 1039,B3e,Em*,?,,12.37,,34.78567,57.06364,,,,,,,,,,,,,,10.3374,0.0007,10.0145,0.0012,,,,,,,,,,,,,1.0,0.0825,0.0,3.767166e-16,4.444912e-16,CXO
