angDist,#,parallax,epsi,sepsi,ruwe
0.039771,1,0.8427,0.477,3.140e+02,3.759
0.035407,2,0.7747,0.124,1.440e+01,0.868
0.026781,3,0.7951,0.307,7.676e+01,1.041
0.031067,4,10.5075,0.790,8.803e+02,0.814
0.044846,5,3.4070,0.472,3.145e+02,0.950
0.045767,6,0.4007,0.079,8.273e+00,0.882
0.093247,7,0.3515,0.126,2.216e+01,1.013
0.019004,8,0.7294,0.185,4.589e+01,1.376
0.027004,9,1.4128,0.299,9.167e+01,1.460
0.026146,10,1.2645,0.069,6.543e+00,0.887
0.103768,11,0.4110,0.118,1.856e+01,0.891
0.425819,12,0.1689,0.000,0.000e+00,1.032
0.247098,13,1.0458,1.640,1.802e+03,9.301
0.332513,13,0.2505,0.463,1.558e+02,3.176
0.034108,14,0.2110,0.058,1.040e+00,1.033
0.027248,15,0.4522,0.158,4.176e+01,1.010
0.030002,16,0.2453,0.000,0.000e+00,0.961
0.117208,17,0.3383,0.000,0.000e+00,0.991
0.061245,18,0.3489,0.066,5.786e+00,0.833
0.044727,19,0.3475,0.116,2.133e+01,1.005
0.010661,20,1.9722,0.162,2.225e+01,1.069
0.051851,21,0.2295,0.000,0.000e+00,0.960
0.043385,22,0.3946,0.090,1.089e+01,1.028
0.064821,23,0.1408,0.000,0.000e+00,0.987
0.052059,26,1.1049,0.142,2.557e+01,0.984
0.452602,29,0.1321,0.284,5.163e+01,2.695
0.225271,30,0.3643,0.062,5.633e+00,0.838
0.083445,31,0.3741,0.076,6.595e+00,1.129
0.437443,32,0.5211,0.056,4.838e+00,1.036
0.068999,34,0.2937,0.116,2.027e+01,1.130
0.025252,35,0.5116,4.067,2.391e+04,3.123
0.075482,36,-0.7999,1.935,9.731e-01,1.100
0.367816,37,0.0878,0.000,1.941e-15,1.010
0.409940,38,0.2798,0.000,0.000e+00,0.993
0.129629,39,1.7931,0.102,1.528e+01,1.239
0.380202,40,0.2848,0.000,0.000e+00,0.990
0.382493,41,0.2714,0.000,0.000e+00,0.986
0.443563,42,0.6672,0.336,5.287e-02,1.029
0.062405,44,0.2636,0.081,2.027e+00,1.148
0.056922,45,0.1572,0.093,1.169e+00,1.067
0.035683,46,0.2059,0.350,1.814e+02,1.136
0.083437,52,-0.0301,0.090,2.317e+00,1.035
0.033900,53,0.3592,0.092,1.253e+01,0.988
0.323688,54,0.3448,0.000,0.000e+00,1.014
0.337692,55,0.1765,0.057,6.386e-01,1.056
0.067060,56,0.3752,0.057,1.722e+00,1.070
0.022370,57,0.3193,0.076,8.552e+00,0.934
0.302366,58,0.1678,0.000,4.255e-15,1.000
0.059422,59,0.2089,0.000,0.000e+00,1.028
0.281061,60,-0.0248,0.064,7.221e-01,0.987
0.019485,65,1.0117,0.099,1.213e+01,0.944
0.191558,66,-0.0247,0.110,5.039e+00,1.037
0.269857,67,0.0078,0.282,2.263e+01,1.279
0.036518,71,-0.0646,0.000,0.000e+00,0.916
0.018677,72,0.5206,0.098,1.201e+01,0.924
0.196045,74,0.0306,0.000,0.000e+00,0.944
0.147655,75,0.0086,0.000,0.000e+00,0.913
0.072593,76,-0.0260,0.103,6.299e-01,0.999
0.215041,77,-0.0790,0.167,5.647e+00,1.045
0.201341,78,-0.0188,0.518,2.609e+01,1.709
0.228653,79,0.0459,0.177,2.984e+00,1.069
0.122318,80,-0.0182,0.119,7.609e-01,1.038
0.237678,81,0.0088,0.302,6.527e+00,1.113
0.375104,82,0.0096,0.037,1.174e-01,0.888
0.239669,83,0.0026,0.165,7.157e+00,1.003
0.163603,84,0.0489,0.104,2.446e-01,1.039
0.170469,85,0.0466,0.236,3.998e+00,1.112
0.224930,87,-0.0176,0.135,2.183e+00,1.030
0.146040,88,0.0495,0.182,8.117e+00,1.089
0.173232,89,0.0175,0.098,1.260e+00,0.985
0.181327,90,-0.0947,0.352,1.624e+01,1.558
0.228654,91,-0.0543,0.000,0.000e+00,0.972
0.162339,92,-0.0412,0.104,3.471e+00,0.987
0.138353,93,-0.0074,0.126,1.488e+00,1.000
0.167832,94,1.1645,1.341,4.677e+01,2.056
0.465154,94,,0.000,0.000e+00,
0.240276,95,-0.0281,0.000,0.000e+00,0.983
0.350626,96,-0.0334,0.000,0.000e+00,0.965
0.250344,97,0.0157,0.107,1.332e+00,0.958
0.306002,98,-0.0676,0.000,0.000e+00,0.911
0.245795,99,-0.0894,0.562,4.056e+00,1.093
0.261387,100,-0.0429,0.142,1.200e+00,1.035
0.474311,101,0.2787,4.714,8.921e+01,3.945
0.279343,102,0.0103,0.000,0.000e+00,0.873
0.183569,103,-0.0392,0.086,1.250e+00,1.008
0.194977,104,-0.0239,0.105,1.978e+00,0.988
0.232599,105,0.0099,0.229,2.856e+00,1.046
0.233142,106,0.0210,0.000,0.000e+00,1.013
0.207353,107,-0.0071,0.083,1.196e+00,0.979
0.211237,108,0.0437,0.149,4.102e+00,1.071
0.340414,110,-0.0226,0.080,5.115e-01,1.055
0.078290,112,0.1711,0.000,0.000e+00,0.956
0.233065,113,-0.0553,0.129,1.750e+00,1.033
0.223703,114,-0.0968,0.000,0.000e+00,0.951
0.196441,115,-0.0083,0.082,1.312e+00,0.936
0.193382,116,0.1771,0.728,1.466e+01,1.458
0.228163,117,-0.0360,0.096,1.479e+00,1.012
