angDist,#,rgeo,rpgeo
0.081414,1,1169.84424000,1153.54578000
0.024289,2,1262.11340000,1258.42798000
0.058101,3,1223.64722000,1231.87842000
0.401104,4,94.81722260,94.53936770
0.133489,5,289.57513400,290.05838000
0.015526,6,2394.14502000,2378.59741000
0.143046,7,2717.45264000,2820.61060000
0.029274,8,1341.51245000,1332.56873000
0.040046,9,693.88684100,702.99096700
0.054758,10,779.35235600,778.07922400
0.156643,11,2303.06006000,2305.25391000
0.427324,12,4953.06787000,4681.62207000
0.271012,13,1033.72815000,1058.81372000
0.286958,13,4036.31665000,3978.37134000
0.068120,14,4221.95215000,3974.24365000
0.090277,15,2155.50073000,2098.20361000
0.055325,16,3649.26855000,3609.04321000
0.075184,17,2726.52881000,2706.61206000
0.099671,18,2737.71997000,2726.44043000
0.036789,19,2731.59326000,2697.62280000
0.099090,20,500.43280000,500.91940300
0.087840,21,3833.79590000,3845.84888000
0.034426,22,2451.65405000,2411.29883000
0.084525,23,5843.08984000,5934.76367000
0.489952,25,3031.66772000,3041.37061000
0.073972,26,891.19732700,886.71502700
0.439170,29,6005.34326000,5154.32568000
0.269268,30,2575.00513000,2574.75269000
0.105615,31,2525.18213000,2499.67554000
0.405520,32,1900.83240000,1886.43713000
0.093643,34,3200.63062000,3138.98755000
0.291482,35,2312.16602000,1339.04553000
0.031665,36,4288.62842000,
0.358785,37,7613.37207000,6362.40234000
0.422649,38,3242.43335000,3164.10693000
0.057686,39,547.34686300,547.10253900
0.388971,40,3186.36865000,3097.76514000
0.388618,41,3271.74561000,3277.65137000
0.465628,42,1687.75232000,494.66909800
0.056098,44,3469.37427000,3314.82666000
0.031108,45,5316.78467000,4424.13867000
0.029443,46,4721.78857000,4289.47656000
0.086030,52,22524.32230000,27205.68950000
0.047989,53,2650.36182000,2642.96851000
0.323913,54,2698.89136000,2656.67188000
0.321445,55,4784.79834000,4312.99756000
0.108043,56,2460.30640000,2478.89624000
0.014952,57,2944.63354000,2931.81616000
0.290911,58,5098.24170000,4870.00195000
0.078640,59,4167.36426000,3937.38647000
0.303756,60,23639.76560000,10989.64550000
0.015299,65,970.35668900,972.96966600
0.213362,66,27128.63280000,18071.38280000
0.282302,67,13345.43160000,11738.69920000
0.035843,71,38760.66410000,32283.77730000
0.020118,72,1850.43408000,1834.65051000
0.211416,74,12133.27830000,12375.23440000
0.161328,75,26083.30660000,12721.04100000
0.066613,76,11132.74610000,12877.17380000
0.225116,77,26867.43550000,21303.67770000
0.217935,78,10514.15620000,4845.70117000
0.243826,79,9403.77344000,11512.54300000
0.131644,80,11558.37700000,2923.40015000
0.254713,81,9797.49316000,7821.58545000
0.388836,82,15631.51860000,11711.76170000
0.256982,83,15037.77730000,15587.41310000
0.181207,84,8248.46973000,9674.25098000
0.185767,85,8696.59375000,8198.83203000
0.240251,87,13830.74120000,10756.08690000
0.158082,88,10583.73540000,9627.19336000
0.192624,89,12437.56640000,12325.50000000
0.191423,90,16794.99610000,14758.43070000
0.241261,91,10330.29490000,10182.36910000
0.171080,92,25483.30270000,22598.06840000
0.144082,93,13313.12600000,9379.95215000
0.181984,94,863.85333300,849.02648900
0.252562,95,15156.88770000,14615.49410000
0.359736,96,7469.76025000,
0.257321,97,13381.39360000,14615.21290000
0.313591,98,13757.66210000,8834.19629000
0.252836,99,8191.70508000,10114.11720000
0.267316,100,13559.41110000,12354.94920000
0.356991,101,1749.01147000,1106.52429000
0.288802,102,17950.59570000,10429.06930000
0.182382,103,19378.21680000,23885.36910000
0.194560,104,20398.45310000,12561.06150000
0.242679,105,11510.97460000,10321.46780000
0.241368,106,10548.19920000,9754.87793000
0.202711,107,15241.92870000,12893.72460000
0.203287,108,10904.84380000,13913.00200000
0.338695,110,14248.54980000,10310.22850000
0.062617,112,4955.54150000,4715.81836000
0.227040,113,18330.75200000,14512.09080000
0.217961,114,12236.77830000,13770.82710000
0.187600,115,16796.38090000,17842.92580000
0.205064,116,4596.60693000,5475.97803000
0.221287,117,18205.90820000,24066.28710000
0.267914,118,10908.64750000,9022.41406000
0.067421,119,26190.69530000,16211.85250000
0.075323,120,12076.58500000,10949.74800000
0.215697,121,15117.54880000,10279.69040000
0.215030,123,19440.80270000,12573.89750000
0.176723,125,19215.35160000,18421.16210000
0.312531,126,13554.33890000,9468.43750000
0.214528,127,14077.83690000,10681.53710000
0.415828,128,15698.87010000,10114.94820000
0.144020,129,31944.43360000,21393.66800000
0.154457,130,12071.43360000,6454.52930000
0.230463,131,23188.67770000,22791.20900000
0.166057,132,15501.38670000,8301.95215000
0.233601,133,15248.45800000,6394.78906000
0.201556,134,14632.90140000,13666.24510000
0.241997,135,11770.32130000,11458.42190000
0.181118,137,1382.89734000,1373.50818000
0.146741,138,12363.30570000,15053.58690000
0.198960,139,6001.07129000,6161.39844000
0.159640,141,9588.33789000,13354.82520000
0.192584,142,13918.60940000,13654.09570000
0.295307,144,10775.60060000,10475.06350000
0.142603,145,16014.71290000,13762.32320000
0.193800,146,3533.53174000,4247.01318000
0.355037,147,20427.68550000,18417.35350000
0.149066,148,23919.50780000,10839.38770000
0.162856,149,4511.39062000,3832.64673000
0.371108,150,8587.70117000,8645.02637000
0.181149,151,8864.83691000,5741.99463000
0.040482,152,32249.51560000,26166.21480000
0.475970,153,7751.62402000,3822.90723000
0.192332,154,15645.73340000,21456.23240000
0.139701,155,15276.61130000,13938.29490000
0.130054,156,14777.43070000,13917.96000000
0.103464,157,18943.97460000,17612.73830000
0.211042,158,12193.36430000,7844.37939000
0.224295,159,10543.22750000,10284.08200000
0.146840,160,10739.16600000,11663.83300000
0.202673,161,11242.01270000,6015.87207000
0.465634,162,3727.25537000,2738.20044000
0.394250,163,20867.26760000,28055.30270000
0.312730,165,18028.38090000,11986.06740000
0.289102,167,17279.27340000,4856.31494000
0.144649,168,45037.71090000,7574.18164000
0.145780,169,8209.36133000,8649.03223000
0.238746,170,4797.10254000,4487.83301000
0.067103,171,18335.60160000,27361.83200000
0.342355,172,9830.77734000,11015.58110000
0.091237,173,3434.74072000,3338.33130000
0.172684,174,11813.15140000,8525.11230000
0.195646,175,16737.79490000,14755.49020000
0.445579,176,13485.08790000,10103.59770000
0.183338,177,17721.15620000,27878.46880000
