angDist,#,main_id,main_type,other_types,sp_type
0.040989,1,BD+62  2346,Be*,Em*|Be*|*  |UV |IR,B0V
0.035074,2,HD 224905,Be*,*  |Em*|*  |IR |Be*|UV,B2
0.020880,3,HD 225095,Em*,UV |*  |IR |Em*,B2IVne
0.030960,4,*   2 Cet,Star,IR |UV |*  |blu,B9IVn
0.043215,5,*  10 Cas,Be*,IR |V* |Em*|Be*|*  |UV,B9IIIe
0.044451,6,BD+59  2829,Be*,*  |Em*|Be*|IR |*  |UV,B0
0.094643,7,BD+62     1,Be*,Em*|IR |Be*|*  |UV,B2IV
0.017140,8,BD+62    11,Be*,Em*|IR |Be*|*  |UV,B5V
0.030660,9,HD    698,Be*,V* |V* |IR |Be*|*  |SB*|UV |Em*,B7:Ib-II(e)
0.026853,10,EM* AS    2,Em*,IR |EmO|*  |Em*,B5:e
0.105802,11,BD+61    39,Be*,Be*|Be*|Em*|Be*|IR |*  |UV,B0.5IV
0.427001,12,IPHAS J002441.72+642137.9,Be*,*  |Be*|IR,B5e
0.003272,13,BD+63    48,Be*,*  |Be*|Em*|IR |**,B1III:nne
0.305734,13,TYC 4023-1321-2,Star,*,
0.033815,14,2MASS J00275896+6229060,Be*,*  |Be*|IR |Be*,B3-4Ve
0.028870,15,BD+55    81,Be*,Be*|IR |*  |Em*,B1.5:V:nne:
0.028800,16,2MASS J00284324+6152162,Be*,*  |Be*|IR |Be*,B7Ve
0.117240,17,2MASS J00292693+6304501,Be*,*  |Be*|IR |Be*,B7e
0.060266,18,BD+62    89,V*,V* |V* |IR |Em*|*,B1.5Ve
0.043241,19,BD+61   105,Em*,Em*|IR |*,O9Ve
0.009748,20,HD   2789,Be*,Be*|Be*|Be*|Em*|IR |*,B3Vne
0.051624,21,[DP65] 15,Be*,Em*|*  |Be*|IR |Be*,B3-4Ve
0.042472,22,BD+62    99,Em*,V* |*iC|Em*|IR |*  |V*,Be
0.065187,23,2MASS J00324800+6647596,Be*,IR |*  |Be*|Be*,B3e
0.090278,24,RX J0032.9-7348,HMXB,HXB|HXB|X  |gam,
0.508198,25,BD+61   122,Be*,Er*|*  |Em*|Be*|IR |V*,B2V:pe
0.053454,26,EM* AS    3,Em*,Em*|EmO|*  |IR,Be
0.770517,27,IPHAS J003559.27+664503.3,Be*,*  |Be*|Be*|IR,A0e
0.547554,28,2MASS J00401493+6516435,Be*,Be*|*  |IR |Em*,B2e
0.461427,29,2MASS J00412139+6504130,Be*,*  |Be*|IR,B
0.225468,30,EM* MWC  674,Be*,IR |EmO|Em*|*  |Be*,B1IIIe
0.083653,31,EM* LkHA  201,Ae*,Ae*|Em*|*  |IR |*iC,B2e
0.437666,32,EM* LkHA  202,Em*,Em*|*  |IR,Be
0.070638,34,EM* AS    4,Be*,EmO|Em*|*  |Be*|IR,B1IV-V:pe
0.013796,35,* omi Cas,Be*,SB*|IR |*  |Em*|V* |Be*|** |UV |SB*,B5IIIe
0.369617,37,IPHAS J004517.05+640124.4,Be*,IR |*  |Be*|Be*,B3e
0.411367,38,[DP65] 47,Be*,*  |Be*|IR |Em*|Be*,B4Ve
0.125825,39,BD+34   113,Star,*  |IR,B2III:e
0.380700,40,IPHAS J004651.68+625914.7,Be*,*  |Be*|IR |Be*,B7e
0.383477,41,2MASS J00474153+6242029,Be*,*  |Be*|IR |Be*,B8Ve
0.431290,42,AX J0048.2-7309,HMXB,*  |HXB|X,
0.062421,44,2MASS J00484292+6444111,Be*,*  |Be*|IR |Be*,B6Ve
0.059013,45,2MASS J00485012+6425337,Be*,*  |Be*|IR |Be*,B3-4Ve
0.033658,46,CD-56   152,Be*,Be*|IR |V* |UV |blu|*,Be
0.081709,52,LIN 139,HMXB,Psr|Be?|Psr|HXB|Em*|HXB|Em*|HXB|IR |X  |*,O9.5-B0.5III-V
0.034535,53,EM* MWC  678,Be*,Em*|*  |Be*|IR |EmO,B2:V:nnep
0.324497,54,2MASS J00501188+6351295,Be*,*  |Be*|IR |Be*,B7Ve
0.337720,55,IPHAS J005011.87+633526.1,Be*,IR |*  |Be*|Be*,B3e
0.067507,56,IPHAS J005012.69+645621.6,Be*,*  |Be*|IR |Be*,B5e
0.021864,57,BD+60   114,Be*,Em*|Be*|IR |*  |V*,B2III:pe
0.303509,58,IPHAS J005029.22+653331.1,Be*,IR |*  |Be*|Be*,B7e
0.060710,59,2MASS J00503230+6231554,Be*,*  |Be*|IR |Be*,B7Ve
0.283032,60,V* DZ Tuc,HMXB,Psr|*  |Psr|HXB|Em*|HXB|El*|IR |V* |HXB|X  |Em*,B0-B0.5V
0.020735,65,BD+69    48,Em*,IR |*  |** |Em*,B5e
0.193332,66,LIN 193,HMXB,XB*|IR |SNR|Psr|Be*|Be?|Psr|HXB|Em*|HXB|Em*|HXB|X  |*,O9.5-B0V
0.270001,67,AzV 102,HMXB,Be?|*  |Em*|HXB|HXB|IR |HXB|*  |X  |Em*|gam,B0-5(II)
0.127826,68,RX J0051.9-7255,HMXB,HXB|HXB|X,Be
0.036901,71,LIN 203,HMXB,IR |Be?|Em*|HXB|HX?|HXB|X  |Em*|HXB|*,O9.5IIIe/B0Ve
0.016397,72,HD   4931,Be*,*  |Em*|Be*|IR |*,A0Ibe
0.508017,73,LIN 221,HMXB,Psr|HXB|Em*|HXB|*  |IR |Em*|HXB|X  |gam,B0-B1III-V
0.219719,74,[MA93]  644,Be*,Be*|IR |*  |Em*,B2III
0.100000,75,[MA93]  650,Be*,Be*|*  |Em*|IR |Em*,B2III
0.000000,76,[MFH2007] SMC5-28368,Be*,*  |Be*,B2III
0.000000,77,MACHO 207.16147.14,Be*,Be*|IR |*,B2III
0.207668,77,2MASS J00531261-7220295,Star,IR |*,
0.000000,78,[MFH2007] SMC5-83491,Be*,*  |Be*|IR,B3III
0.228705,79,[MFH2007] SMC5-73594,Be*,*  |Be*|IR,B2-3III-IV
0.000000,80,[MFH2007] SMC5-55592,Be*,*  |Be*,B3IV
0.244505,81,SSTISAGE1C J005323.61-722344.0,Be*,*  |Be*|IR,B2V
0.376154,82,RX J0053.4-7227,HMXB,Psr|*  |HXB|Em*|HXB|IR |HXB|X  |Em*,B1-B2IV-V
0.000000,83,MACHO 207.16204.11,Be*,Be*|IR |*,B2III
0.205112,83,2MASS J00532660-7220187,Star,IR |*,
0.166918,84,MACHO 207.16203.202,Be*,Be*|IR |*,B1V
0.099382,85,SSTISAGE1C J005326.88-722541.6,Be*,*  |Be*|IR,B2IV
0.080000,86,[HP2004] 25,HMXB,HXB,
0.222221,87,[MA93]  693,Be*,Be*|*  |IR |Em*|Em*,B1III-IV
0.100000,88,2MASS J00534400-7224563,Be*,Be*|IR |*,B2IV
0.177329,89,[MA93]  713,Be*,Be*|*  |Em*|Em*|IR,B2IV
0.336418,90,[MA93]  720,Be*,Be*|IR |*  |Em*,B3III
0.000000,91,[MFH2007] SMC5-38007,Be*,*  |Be*,B3V
0.832970,92,RX J0053.9-7226,HMXB,IR |*  |HXB|HXB|HX?|HXB|HXB|Be*|Psr|HXB|X  |gam,B1III
0.137528,93,[MFH2007] SMC5-3315,Be*,*  |Be*|IR,B2III
0.030000,94,[MFH2007] SMC5-65746,Be*,*  |Be*|IR,B1V
0.151056,94,Gaia DR2 4689005810699274624,Star,*,
