angDist,#,4XMM
1.073449,52,J004942.2-732314
0.313627,60,J005044.7-731605
0.075841,66,J005152.0-731033
0.506816,69,J005205.6-722603
0.582940,82,J005323.8-722715
1.314792,92,J005355.5-722644
0.728114,117,J005446.3-722523
1.578314,164,J005605.5-722159
0.606268,217,J005642.4+604300
1.854205,248,J010030.1-722033
0.595040,258,J010120.6-721119
0.529580,287,J011108.4-731646
1.717746,336,J013742.6-571413
0.233107,382,J014700.2+612123
0.216026,465,J020845.4+650214
1.491672,536,J022142.9+571830
0.109174,597,J024031.6+611345
0.857956,682,J032910.3+312159
0.975482,688,J033459.8+531022
0.768646,705,J035857.8+354728
0.632022,745,J050908.8-084514
1.667323,758,J051559.9-691607
0.417253,772,J052444.8+015047
1.916678,842,J053113.2-660707
1.932895,855,J053505.5-670015
0.541001,857,J053522.9-052458
0.295457,892,J053854.5+261857
0.013697,942,J060703.6-341843
0.349594,972,J062715.8+145321
0.130495,990,J063259.2+054801
0.759426,1001,J064058.6+095345
1.235075,1046,J070254.7-041422
0.120739,1080,J072202.0-085845
0.158192,1116,J073705.7+165415
0.061410,1143,J074610.5-375601
0.050398,1168,J075850.5-604928
0.920105,1330,J102552.5-584706
1.481113,1411,J110230.0-604854
0.265825,1509,J120805.2-503940
0.255996,1510,J120821.5-504320
0.320057,1537,J124250.3-630330
0.073503,1563,J130247.6-635008
0.595020,1591,J133115.4-614357
0.153719,1601,J134632.5-625524
1.421188,1611,J135357.1-470741
0.884842,1709,J155811.3-141645
0.020826,1812,J171519.2-333254
0.633534,1827,J172523.7-562239
0.710596,1829,J172754.7-470133
0.947038,1838,J173448.0-323520
1.354375,1851,J174445.6-271344
1.119052,1875,J175442.6-294346
0.697667,1891,J180411.1-242145
0.965533,1893,J180425.7-242309
0.229547,1896,J180432.9-241844
1.451560,1900,J180441.6-242054
1.185461,1903,J180450.6-242542
0.114962,1908,J180827.0-195207
1.107811,1930,J181842.8-134649
1.166649,2059,J200539.8+353627
0.752128,2073,J201350.2+363722
1.754682,2075,J201455.4+365111
0.970073,2101,J203215.2+373815
1.080056,2106,J203740.1+181702
0.585204,2123,J205209.7+442604
0.595755,2152,J212839.5+703339
0.309838,2185,J220756.2+543106
0.097961,2198,J222516.6+012238
1.856739,2225,J225228.9+624110
