angDist,angDist,#,Be star,Category,RA,DEC,V,Type,vsini,Nb of spectra in BeSS,ra,dec,main_type,source_id,duplicated_source,a_g_val,id,RA_ICRS,DE_ICRS,rest,b_rest,B_rest,rlen,ResFlag,ModFlag
0.061239,1.0E-6,1,BD+62 2346,Classical,00 01 24.70,63 30 15.73,9.73,B0Ve,,3,0.352893497,63.50436467,Be*,4.31592983E17,0,,431593257757382912,0.35290285715,63.50434817961,1153.442143478560000,1092.740838943590000,1221.138709832840000,1215.025445366620,1,1
0.054112,5.0E-6,2,HD 224905,Classical,00 01 38.63,60 26 59.72,8.47,B1Vne,,85,0.41097787,60.44992367,Be*,4.29341011E17,0,0.686,429341153012514176,0.41095008342,60.44991749452,1465.679924315750000,1389.452243652000000,1550.564073158650000,1025.690768663470,1,1
0.040635,4.0E-6,3,HD 225095,Classical,00 03 27.15,55 33 03.23,7.95,B2IVne,,234,0.863114975,55.55089844,Em*,4.20876009E17,1,0.3683,420875841188703360,0.86309871119,55.55089190034,1254.419478826930000,1193.348465559150000,1321.937978832010000,883.485767956582,1,1
0.416322,0.006268,4,2 Cet,Classical,00 03 44.39,-17 20 09.57,4.543,B9IVne,,95,0.934949342,-17.33599221,Star,2.41477987E18,1,0.351,2414783622022208128,0.93506376866,-17.33603019488,94.255369947015900,91.864466152231000,96.771709795981800,429.221471770455,1,1
0.140611,1.1E-5,5,10 Cas,Classical,00 06 26.54,64 11 46.21,5.567,B9IIIe,125,292,1.610574406,64.19615809,Be*,4.3169699E17,0,0.441,431696822314371456,1.61066378303,64.19616155053,301.387827578678000,293.457968117781000,309.750065129566000,1263.787384605820,1,1
0.057641,1.6E-5,6,BD+59 2829,Classical,00 06 48.30,60 36 00.83,9.86,B1Ve,,2,1.701273424,60.60023505,Be*,4.29302013E17,1,1.3063,429302051629352960,1.70124375376,60.60022840007,2530.996262951700000,2334.780031990520000,2761.974848425680000,1029.016273685420,1,1
0.049452,1.3E-5,7,BD+62 1,Classical,00 07 33.15,63 04 49.18,10.46,B2IVpe,,2,1.888080233,63.08031103,Be*,4.31516017E17,0,1.2973,431515810905725952,1.88805102393,63.08030731311,2893.312234707860000,2682.891429706180000,3138.389214716680000,1176.449543227860,1,1
0.038491,8.0E-6,8,BD+62 11,Classical,00 10 46.92,63 10 22.57,9.6,B5Ve,,6,2.69550808,63.17293917,Be*,4.31349991E17,0,1.172,431350373076175744,2.69550462168,63.17292859248,1990.779623068640000,1853.546280915420000,2149.383127314990000,1180.626130130850,1,1
0.040612,1.0E-5,9,V742 Cas,Classical,00 11 37.15,58 12 42.58,7.08,B5IIe,,205,2.904775582,58.21182864,Be*,4.22859012E17,0,,422858810408804864,2.90478289302,58.21181803674,770.513728524846000,737.835496039700000,806.161221065008000,945.766121663831,1,1
0.027459,3.0E-6,10,EM* AS 2,Classical,00 12 59.25,66 19 19.43,10.58,B5e,,1,3.246857246,66.32206608,Em*,5.28182983E17,0,0.6457,528183090813390848,3.24683825330,66.32206614253,778.065479717654000,760.518553404466000,796.425910742071000,1412.843827251720,1,1
0.049178,1.1E-5,11,BD+61 39,Classical,00 20 17.44,62 27 49.92,8.85,B0.5IVe,,178,5.07260614,62.46387565,Be*,4.30511991E17,0,,430511789300158720,5.07257742561,62.46387887330,2750.166076380710000,2504.730955199870000,3046.816362783920000,1125.038086079690,1,1
0.023725,3.0E-6,12,IPHAS J002441.72+642137.9,Classical,00 24 41.72,64 21 37.91,,B5III,,0,6.173914768,64.3604173,Be*,4.31186988E17,0,0.874,431186614557938560,6.17390015852,64.36041543752,5324.820508859510000,4636.389759899170000,6226.632179504040000,1267.857926207480,1,1
0.034213,8.0E-6,14,IPHAS J002758.97+622906.1,Classical,00 27 58.97,62 29 06.11,,,,0,6.995688174,62.48503178,Be*,4.30553017E17,0,,430553261502536448,6.99566810452,62.48502969357,4360.376261112640000,3940.438705128040000,4874.342942367680000,1124.438281189130,1,1
0.059676,4.0E-6,15,BD+55 81,Classical,00 28 12.04,56 23 47.53,10.02,B1.5Vnne,,3,7.050155487,56.39653101,Be*,4.21676006E17,0,0.624,421675529736368896,7.05012891241,56.39652336279,2169.299093478590000,1998.498991585220000,2370.901790848570000,883.278681712692,1,1
0.027903,1.2E-5,16,IPHAS J002843.24+615216.2,Classical,00 28 43.24,61 52 16.21,,,,0,7.180149897,61.87117067,Be*,4.30233987E17,0,,430234025173785728,7.18013485169,61.87116754526,4035.977207514460000,3633.066802674370000,4533.051635040120000,1084.846365634310,1,1
0.042572,7.0E-6,17,IPHAS J002926.93+630450.2,Classical,00 29 26.93,63 04 50.20,,B7V B6,,0,7.362280234,63.08061208,Be*,4.30950009E17,0,,430949910320096896,7.36225503831,63.08060896116,2940.331937681480000,2758.635957275540000,3146.922386901910000,1166.901083814180,1,1
0.047598,9.0E-6,18,BD+62 89,Classical,00 29 49.25,63 04 04.01,10.25,B0Vpe,,1,7.455177686,63.06778991,V*,4.3078601E17,0,,430785666465509248,7.45514952350,63.06778643135,2558.847899972710000,2360.019880524200000,2793.068407955070000,1165.949696216150,1,1
0.045207,1.5E-5,19,BD+61 105,Classical,00 31 19.20,62 25 39.40,9.34,O9Ve,,4,7.830004676,62.42762293,Em*,4.30356994E17,0,0.888,430356929957388672,7.82998154523,62.42761636785,3581.660678455410000,3235.482907502190000,4006.365546665560000,1120.278373715660,1,1
0.088388,7.0E-6,20,HD 2789,Classical,00 32 02.84,67 09 40.08,8.36,B3Vne,,132,8.011840028,67.16113257,Be*,5.2794999E17,1,1.249,527950234866756352,8.01189975241,67.16114065856,494.702054245325000,486.028985977690000,503.684533589334000,1459.594624571030,1,1
0.035261,5.0E-6,21,IPHAS J003210.31+623929.2,Classical,00 32 10.31,62 39 29.20,,B6,,0,8.042927114,62.65811128,Be*,4.30740999E17,0,1.9317,430741381070454272,8.04290598404,62.65810995646,3941.721927533630000,3663.930560856070000,4263.376322884120000,1136.245254177160,1,1
0.046697,1.0E-6,22,BD+62 99,Classical,00 32 13.23,63 12 28.96,10.94,Be,,2,8.055140622,63.20805391,Em*,4.30779001E17,0,,430779279862524672,8.05511222666,63.20805180420,3059.570807464350000,2774.245791832970000,3407.457691686010000,1176.734942232240,1,1
0.024079,5.0E-6,23,IPHAS J003248.02+664759.6,Classical,00 32 48.02,66 47 59.60,,B3III,,0,8.200050646,66.79987616,Be*,5.27919994E17,0,0.7958,527920204455592960,8.20003366853,66.79987624434,6556.745315988800000,5776.537780053190000,7556.095360555170000,1444.458166493570,1,1
0.040644,1.4E-5,25,BD+61 122,Classical,00 35 00.31,62 26 53.88,10.39,B2Vpe,,2,8.7514915,62.4481933,Be*,4.30684992E17,0,1.242,430684721859552384,8.75146771838,62.44819075823,2942.420229134910000,2723.945882371810000,3197.693420350440000,1121.815658849620,1,1
0.028111,8.0E-6,26,EM* AS 3,Classical,00 35 42.33,68 42 26.27,10.67,Be,,1,8.92639023,68.70728344,Em*,5.29645987E17,1,1.5733,529645887951575808,8.92637826529,68.70727695165,894.524016188140000,859.242596354953000,932.769191732715000,1478.690752470270,1,1
0.046529,9.0E-6,27,IPHAS J003559.27+664503.3,Classical,00 35 59.27,66 45 03.31,,A0V,,0,8.996717577,66.75072767,Be*,5.27750016E17,0,,527749707136081152,8.99668499386,66.75072894500,2279.232629517200000,2062.620873910800000,2545.033620847720000,1444.589088336330,1,1
0.088499,0.111561,28,IPHAS J004014.89+651644.0,Classical,00 40 14.89,65 16 44.00,,B2V,,0,10.06221667,65.27875556,Be*,5.27493006E17,0,,527492700591664128,10.06226907098,65.27876669936,2624.676909809360000,2248.351742458060000,3142.361536021730000,1349.218270300320,1,1
0.035809,1.2E-5,29,IPHAS J004121.36+650413.5,Classical,00 41 21.36,65 04 13.51,,,,0,10.33912337,65.07030229,Be*,5.27485996E17,0,,527485721264160000,10.33910064574,65.07030497247,3098.824033843010000,2857.313689402160000,3383.428413303080000,1333.361994292830,1,1
0.042544,4.0E-6,30,EM* MWC 674,Classical,00 42 26.51,64 03 00.17,10.848,B0IIIpe,,1,10.61031523,64.05004615,Be*,5.23960996E17,1,,523961000528617600,10.61028850033,64.05004446083,2629.044687817540000,2289.900830804750000,3079.233183928790000,1248.893720450970,1,1
0.032317,5.0E-6,31,EM* LkHA 201,Classical,00 43 25.34,61 38 23.39,14.3,B3Ve,,0,10.85559094,61.6398076,Ae*,4.27581999E17,0,1.1323,427582411138427904,10.85557691663,61.63980158242,2722.904165891500000,2587.596878161910000,2872.775049603120000,1070.819170013940,1,1
0.030933,1.2E-5,32,EM* LkHA 202,Classical,00 43 49.64,62 15 22.90,14.0,Be,,0,10.95708094,62.25639976,Em*,4.27629999E17,1,0.699,427629728800278912,10.95706362667,62.25639678087,2097.086570524200000,1976.380542333140000,2233.111466669130000,1110.610669780970,1,1
0.028697,1.8E-5,34,EM* AS 4,Classical,00 44 42.19,63 54 28.02,10.58,B1IVpe,,1,11.17575861,63.90777016,Be*,5.24037E17,0,,524037416587647616,11.17574054321,63.90777079516,3815.919434949290000,3412.851623231770000,4320.484166250890000,1238.638632287630,1,1
0.299690,0.188825,35,omi Cas,Classical,00 44 43.52,48 17 03.71,4.477,B5IIIe,195,550,11.18132777,48.28436488,Be*,3.90548008E17,1,0.541,390548351252549760,11.18144148239,48.28433017501,214.228738813688000,195.350771632011000,237.075339935290000,617.987039706885,1,1
0.027295,3.0E-6,37,IPHAS J004517.05+640124.4,Classical,00 45 17.05,64 01 24.38,,B3V,,0,11.32111317,64.02334111,Be*,5.24039989E17,0,1.1818,524039890488762880,11.32109598166,64.02334200700,6612.589923590230000,5527.441150286770000,8108.412563077220000,1248.819481669710,1,1
0.036900,1.0E-6,38,IPHAS J004620.80+622503.9,Classical,00 46 20.80,62 25 03.90,,,,0,11.5866564,62.41763583,Be*,4.27717995E17,0,,427718273845116288,11.58663477257,62.41763364276,3174.338542273760000,2990.466852022950000,3381.621238123400000,1122.833377896140,1,1
0.173680,9.0E-6,39,BD+34 113,Classical,00 46 34.44,34 49 43.65,9.9,B2IIIe,,50,11.643511,34.82882543,Star,3.62440986E17,0,0.353,362441368008470656,11.64348800358,34.82878103196,538.392131093472000,524.443582200975000,553.088387237386000,438.850933197073,1,1
0.019006,3.0E-6,40,IPHAS J004651.68+625914.7,Classical,00 46 51.68,62 59 14.71,,B7V,,0,11.7153745,62.98731536,Be*,5.23833006E17,1,,523832941781842176,11.71536484290,62.98731242147,3746.811599840160000,3428.343321766390000,4127.609519820520000,1165.467207930400,1,1
0.020375,1.0E-5,41,IPHAS J004741.54+624203.3,Classical,00 47 41.54,62 42 03.31,,B7,,0,11.92312019,62.70081427,Be*,4.27748987E17,1,1.8595,427748922732488448,11.92310872428,62.70081217707,3475.676617083960000,3270.984881859050000,3706.890304848610000,1144.151000618850,1,1
0.050228,1.2E-5,42,AX J0048.2-7309,Classical,00 48 13.99,-73 09 38.88,15.3,Be,,0,12.05861051,-73.1608763,HMXB,4.6859498E18,1,,4685947587891123840,12.05861012699,-73.16089025174,1359.447024896850000,798.710646853604000,2393.376876388610000,595.701350732694,1,1
0.010958,1.6E-5,44,IPHAS J004842.93+644411.1,Classical,00 48 42.93,64 44 11.11,,B6,,0,12.17889278,64.73643503,Be*,5.24415988E17,0,,524416404498339200,12.17888581178,64.73643438124,3425.793521937040000,3153.813191045110000,3747.229327795170000,1312.653454525380,1,1
0.028169,5.0E-6,45,IPHAS J004850.12+642533.7,Classical,00 48 50.12,64 25 33.71,,,,0,12.20886865,64.42602453,Be*,5.24405989E17,0,0.754,524405752979578368,12.20885079041,64.42602586812,4574.373750775540000,3819.848073495440000,5643.082729474620000,1286.335261210780,1,1
0.011314,2.0E-6,46,BG Phe,Classical,00 49 01.31,-56 05 49.35,10.18,B5e,,8,12.25544222,-56.09703909,Be*,4.9086702E18,0,0.167,4908668373993964032,12.25544358069,-56.09704213980,4721.781437998350000,4035.847925620230000,5603.848367176080000,498.509354955457,1,1
0.020289,3.0E-6,52,RX J0049.7-7323,Classical,00 49 41.99,-73 23 14.71,14.98,B2Ve,,0,12.42503107,-73.38741035,HMXB,4.68593E18,0,,4685927315640017792,12.42504044518,-73.38741530771,10961.523169817800000,9491.965746027030000,12728.142224644600000,597.044504012060,1,1
0.041414,1.0E-5,53,EM* MWC 678,Classical,00 49 48.20,60 59 10.04,9.89,B2Vnnpe,,2,12.4508442,60.98611421,Be*,4.27352991E17,0,,427352819367679104,12.45082175743,60.98611048822,3418.930593723660000,3046.083753837610000,3888.826429778400000,1034.718521952260,1,1
0.047856,7.0E-6,54,IPHAS J005011.87+635129.9,Classical,00 50 11.87,63 51 29.92,,B5,,0,12.54950566,63.85822342,Be*,5.23978004E17,0,,523977733720370560,12.54947580993,63.85822148504,2774.805493900190000,2639.918989299010000,2923.876607386160000,1239.161041932250,1,1
0.029448,1.2E-5,55,IPHAS J005011.87+633526.1,Classical,00 50 11.87,63 35 26.09,,B3V,,0,12.54951631,63.59049036,Be*,5.23968006E17,0,,523968044274327808,12.54949886697,63.59049295212,4373.462491109390000,3832.759913129300000,5076.064671177950000,1216.625848068240,1,1
0.040492,3.0E-6,56,IPHAS J005012.69+645621.6,Classical,00 50 12.69,64 56 21.59,,B5V B5,,0,12.55283138,64.93933376,Be*,5.24443991E17,0,,524443548692482432,12.55280510968,64.93933212027,2799.013753736180000,2645.312487753350000,2971.210884422130000,1331.373128766260,1,1
0.035342,1.5E-5,57,BD+60 114,Classical,00 50 15.22,60 54 09.20,9.94,B2IIIpe,,4,12.56342907,60.90255628,Be*,4.27350002E17,0,,427350109251718400,12.56340927502,60.90255435309,2510.046910425590000,2313.416745582780000,2741.938128960480000,1030.359138186650,1,1
0.033682,1.6E-5,58,IPHAS J005029.22+653331.1,Classical,00 50 29.22,65 33 31.10,,B7IV,,0,12.62183181,65.55856167,Be*,5.24558993E17,1,,524559272288846592,12.62180919903,65.55856177561,6073.001334780340000,5179.218561256080000,7284.008700199730000,1381.675257309500,1,1
0.019436,1.2E-5,59,IPHAS J005032.31+623155.5,Classical,00 50 32.31,62 31 55.49,,,,0,12.63459356,62.53207195,Be*,5.23631005E17,0,,523631490638626048,12.63458185518,62.53207198603,4213.925777677200000,3723.652394104600000,4840.833007798330000,1133.330717919810,1,1
0.021005,1.1E-5,60,DZ Tuc,Classical,00 50 44.69,-73 16 05.16,15.44,Be,,0,12.68628186,-73.26817572,HMXB,4.68593E18,0,,4685928999266932864,12.68629314534,-73.26818056638,9042.696195248020000,7717.387769132420000,10665.775531238800000,595.177786588935,1,1
0.031628,5.0E-6,65,BD+69 48,Classical,00 51 22.88,70 09 39.08,9.41,B5e,,3,12.84531654,70.16085639,Em*,5.35977009E17,1,1.0567,535977494385042432,12.84534168882,70.16085847270,1081.137784066070000,1046.641631497190000,1117.940643450890000,1418.647799084220,1,1
0.019960,6.0E-6,66,SMC 25,Classical,00 51 52.01,-73 10 33.96,14.45,Be,,0,12.9667697,-73.17615068,HMXB,4.6859399E18,0,,4685938413838450688,12.96678048482,-73.17615526222,12460.374970000900000,10771.340577804200000,14453.806457824600000,593.517161489225,1,1
0.023059,1.6E-5,67,2E 0050.1-7247,Classical,00 51 53.17,-72 31 48.50,14.87,Be,,0,12.97139928,-72.53020052,HMXB,4.68898E18,0,,4688984061034529408,12.97140884433,-72.53020624564,7030.854572721740000,5906.458956546280000,8445.211515489350000,586.307724413775,1,1
0.019322,1.1E-5,71,2E 0050.4-7335,Classical,00 52 13.99,-73 19 18.84,14.67,Be,,0,13.05831706,-73.32189279,HMXB,4.6858899E18,0,,4685885980866646656,13.05832513945,-73.32189763040,12300.908922014700000,10649.451540930500000,14254.423928669800000,594.776154007937,1,1
0.032551,8.0E-6,72,HD 4931,Classical,00 52 15.45,60 05 23.81,8.72,B8Ve,,63,13.06438407,60.08994778,Be*,4.26871989E17,1,1.344,426872337089185024,13.06436863031,60.08994303812,1716.467707486520000,1619.795976280040000,1825.121258025540000,991.526349022132,1,1
0.022723,4.0E-6,73,2E 0051.1-7214,Classical,00 52 55.20,-71 58 05.88,15.53,Be,,0,13.23027063,-71.96841356,HMXB,4.6890801E18,0,,4689080337014302336,13.23028308053,-71.96841855892,9502.538502479040000,8050.096378603890000,11260.884556772400000,578.874062830213,1,1
0.036314,0.031306,74,2MASS J00530450-7220495,Classical,00 53 04.53,-72 20 49.30,15.83,B2IIIe,393,0,13.26879167,-72.34708333,Be*,4.6890598E18,0,,4689056594433435392,13.26882476214,-72.34708435210,6023.967526485830000,5078.834781746430000,7237.508960670230000,583.387785210759,1,1
0.077463,0.07685,75,Cl* NGC 330 ELS 049996,Classical,00 53 10.35,-72 20 42.30,15.88,B2IIIe,461,0,13.293125,-72.34511111,Be*,4.6890598E18,0,,4689056628793170560,13.29307032706,-72.34512482359,5731.385283232860000,4766.795030679240000,6980.572348430050000,583.304077077285,1,1
0.066694,0.07333,76,Cl* NGC 330 ELS 028368,Classical,00 53 11.93,-72 12 04.60,16.61,B2IIIe,499,0,13.29970833,-72.20127778,Be*,4.6890598E18,0,,4689061709698574592,13.29965153767,-72.20128424945,5070.498522326430000,4131.251184908640000,6308.233596797230000,581.550257408941,1,1
0.224746,0.215211,77,Cl* NGC 330 ELS 021152,Classical,00 53 12.66,-72 20 29.50,15.3,B2IIIe,199,0,13.30275,-72.34152778,Be*,4.6890598E18,0,,4689056628793468928,13.30266426161,-72.34158453406,5728.439879858480000,4782.323493006590000,6953.031240958750000,583.237781847934,1,1
0.136715,0.112699,77,Cl* NGC 330 ELS 021152,Classical,00 53 12.66,-72 20 29.50,15.3,B2IIIe,199,0,13.30258333,-72.34155556,Star,4.6890598E18,0,,4689056628793468928,13.30266426161,-72.34158453406,5728.439879858480000,4782.323493006590000,6953.031240958750000,583.237781847934,1,1
0.217331,0.194913,78,Cl* NGC 330 ELS 083491,Classical,00 53 19.93,-72 22 29.20,15.95,B3IIIe,433,0,13.33304167,-72.37477778,Be*,4.6890103E18,0,,4689009418472603136,13.33301375841,-72.37483755523,2886.580864045970000,2287.456318519810000,3758.296229657610000,583.561188461395,1,1
0.024321,8.0E-6,79,Cl* NGC 330 ELS 073594,Classical,00 53 21.41,-72 26 08.90,16.13,B2.5IIIe,192,0,13.33912579,-72.435864,Be*,4.6890103E18,0,,4689008250240896896,13.33913776453,-72.43586970814,5860.245845789450000,4909.337459211260000,7087.146145832200000,584.274059823721,1,1
0.131255,0.121461,80,Cl* NGC 330 ELS 055592,Classical,00 53 22.72,-72 11 55.70,16.68,B3IVe,118,0,13.34466667,-72.19880556,Be*,4.6890598E18,0,,4689061812857160832,13.34460217556,-72.19883622835,3847.293579437470000,3101.245104276630000,4876.844764571970000,581.409043138187,1,1
0.286117,0.263683,81,Cl* NGC 330 ELS 000476,Classical,00 53 23.70,-72 23 43.80,16.36,B2Ve,309,0,13.348527,-72.395508,Be*,4.6890103E18,1,,4689008593893429376,13.34869651923,-72.39556872851,5329.813319973160000,4363.106433483060000,6595.235923343460000,583.770213779154,1,1
0.022223,1.1E-5,82,CXOU J005323.8-722715,Classical,00 53 23.90,-72 27 15.12,16.19,Be,,0,13.34941176,-72.45429079,HMXB,4.6890103E18,0,,4689005260999717760,13.34942145062,-72.45429622799,6692.143439982520000,5592.896785525160000,8088.093828816560000,584.467469005415,1,1
0.256349,0.238284,83,2MASS J00532660-7220187,Classical,00 53 26.61,-72 20 18.60,14.97,B2IIIe,185,0,13.360875,-72.3385,Be*,4.6890103E18,1,,4689010067007622656,13.36082159023,-72.33856933971,5959.534329773290000,4954.439599207760000,7254.723570779020000,583.057577954788,1,1
0.051237,0.036926,83,2MASS J00532660-7220187,Classical,00 53 26.61,-72 20 18.60,14.97,B2IIIe,185,0,13.36083333,-72.33855556,Star,4.6890103E18,1,,4689010067007622656,13.36082159023,-72.33856933971,5959.534329773290000,4954.439599207760000,7254.723570779020000,583.057577954788,1,1
0.020750,9.0E-6,84,Cl* NGC 330 ELS 003789,Classical,00 53 26.69,-72 22 07.40,17.62,B1Ve,492,0,13.36115903,-72.36876612,Be*,4.6890103E18,0,,4689009796484686464,13.36116926097,-72.36877098008,3918.355116518220000,3071.983962589110000,5086.878489256040000,583.418922569211,1,1
0.111852,0.106544,85,Cl* NGC 330 ELS 046388,Classical,00 53 26.98,-72 25 41.40,16.47,B2IVe,330,0,13.362453,-72.428192,Be*,4.6890103E18,0,,4689008250240847872,13.36239530911,-72.42821772920,5948.739430909630000,4918.387379253210000,7277.182652038520000,584.125545043978,1,1
0.023926,9.0E-6,87,[MA93] 693,Classical,00 53 37.08,-72 18 50.60,15.86,B1IIIe,457,0,13.40442515,-72.31411294,Be*,4.6890598E18,0,,4689057041109985792,13.40443383768,-72.31411903949,5846.817866045430000,4808.856058819080000,7187.382498767780000,582.655868517420,1,1
0.077602,0.078292,88,2dFS 952,Classical,00 53 44.01,-72 24 56.30,15.06,B2IVe,188,0,13.433375,-72.41566667,Be*,4.6890103E18,0,,4689008628253216640,13.43331629671,-72.41567892314,7817.286331440540000,6596.290282651140000,9332.843987072870000,583.801323557476,1,1
0.020124,1.6E-5,89,Cl* NGC 330 ELS 048289,Classical,00 53 50.65,-72 23 09.20,15.87,B2IVe,253,0,13.4609868,-72.38593526,Be*,4.6890103E18,0,,4689008933244342656,13.46099472026,-72.38594031027,6988.315276709110000,5809.576203835290000,8468.707041602490000,583.378281069511,1,1
0.020124,0.992056,89,Cl* NGC 330 ELS 048289,Classical,00 53 50.65,-72 23 09.20,15.87,B2IVe,253,0,13.4609868,-72.38593526,Be*,4.6890103E18,0,,4689008933244342656,13.46099472026,-72.38594031027,6988.315276709110000,5809.576203835290000,8468.707041602490000,583.378281069511,1,1
0.197025,0.195318,90,[MA93] 720,Classical,00 53 53.66,-72 22 01.40,15.75,B3IIIe,323,0,13.473335,-72.367111,Be*,4.6890103E18,0,,4689009109289381632,13.47351435864,-72.36710440772,4489.258850677790000,3564.407281919360000,5729.773470276730000,583.122111411429,1,1
0.197025,0.60683,90,[MA93] 720,Classical,00 53 53.66,-72 22 01.40,15.75,B3IIIe,323,0,13.473335,-72.367111,Be*,4.6890103E18,0,,4689009109289381632,13.47351435864,-72.36710440772,4489.258850677790000,3564.407281919360000,5729.773470276730000,583.122111411429,1,1
0.240796,0.224005,91,Cl* NGC 330 ELS 038007,Classical,00 53 54.17,-72 19 55.42,17.27,B3Ve,262,0,13.47570833,-72.33206111,Be*,4.6890103E18,0,,4689010140081411072,13.47561049345,-72.33212104576,3254.851676984460000,2592.559511081470000,4199.373366868520000,582.697191645420,1,1
