#,Be star,Category,V,SpecType,vsini,Nb of spectra in BeSS,_RAJ2000,_DEJ2000,_q,EDR3Name,Plx,pmRA,pmDE,epsi,sepsi,Gmag,BPmag,RPmag,RVDR2,GLON,GLAT,Tefftemp,Gflux,Name,Type,Pos,Opt,r_Opt,l_Vmag,Vmag,Vmagl,u_Vmag,B-V,u_B-V,B-Vl,U-B,E_B-V_,E_B-V_2,u_E_B-V_,r_Vmag,Jmag,l_Hmag,Hmag,l_Kmag,Kmag,l_FX,FX,FXu,Range,r_FX,Porb,u_Porb,Ppulse,u_Ppulse,r_Porb,SpType,Name2,Name3,Name4,Simbad,_4XMM,Flux1,Flux2,Flux3,Flux4,Flux5,Flux8,Flux9,HR1_x,HR2_x,HR3,HR4,Cst,Fvar,e_Fvar,Vflag,_2CXO,Fluxb,Fluxh,Fluxm,Fluxs,Fluxu,HRhm,HRhs,HRms,VaKSb,VaKPb,VaGLb,Vib,_2SXPS,HR1_y,HR2_y,FPO0,FPU0,NH1H,Gamma,flags
1,BD+62 2346,Classical,9.73,B0Ve,,3,0.35291666666666666,63.50436944444444,1.0,Gaia EDR3 431593257757382912,0.8427,0.904,-3.903,0.477,314.0,9.334448,9.62206,8.840662,,117.3867526243,1.1724814017,,5.197848222028916e-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
2,HD 224905,Classical,8.47,B1Vne,,85,0.4109583333333333,60.44992222222222,2.0,Gaia EDR3 429341153012514176,0.7747,-3.198,-1.531,0.124,14.4,8.410068,8.476914,8.234395,,116.8260306646,-1.8301774428,,1.2177989461278792e-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
3,HD 225095,Classical,7.95,B2IVne,,234,0.863125,55.550897222222225,3.0,Gaia EDR3 420875841188703360,0.7951,-1.752,-1.475,0.307,76.8,7.900065,7.871469,7.892114,,116.1332784498,-6.6861620117,,1.947945463882122e-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
4,2 Cet,Classical,4.543,B9IVne,,95,0.9349583333333333,-17.335991666666665,4.0,Gaia EDR3 2414783622022208128,10.5075,25.363,-8.987,0.79,880.0,4.516587,4.507541,4.523403,,72.1008569539,-75.2618105673,,4.395092238186166e-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
5,10 Cas,Classical,5.567,B9IIIe,125,292,1.6105833333333333,64.19616944444445,5.0,Gaia EDR3 431696822314371456,3.407,9.248,0.828,0.472,315.0,5.53836,5.534208,5.504747,,118.0586572275,1.7509784756,,1.7149789503607798e-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
6,BD+59 2829,Classical,9.86,B1Ve,,2,1.70125,60.600230555555555,6.0,Gaia EDR3 429302051629352960,0.4007,-3.425,-1.687,0.079,8.27,9.631721,9.883719,9.179588,,117.4779832249,-1.7980238824,,3.9528869491241835e-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
7,BD+62 1,Classical,10.46,B2IVpe,,2,1.8881250000000003,63.080327777777775,7.0,Gaia EDR3 431515810905725952,0.3515,-3.195,-0.873,0.126,22.2,10.291224,10.46967,9.943698,,117.9885723313,0.6305384823,,2.1533429057630987e-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
8,BD+62 11,Classical,9.6,B5Ve,,6,2.6955,63.17293611111111,8.0,Gaia EDR3 431350373076175744,0.7294,-0.239,-2.743,0.185,45.9,9.402717,9.532551,9.088199,,118.3638027599,0.6623387373,,4.881080766090393e-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
9,V742 Cas,Classical,7.08,B5IIe,,205,2.9047916666666667,58.21182777777778,9.0,Gaia EDR3 422858810408804864,1.4128,0.661,-2.329,0.299,91.7,7.006101,7.104907,6.758527,,117.6926078338,-4.2542922722,,4.4377455163715574e-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
10,EM* AS 2,Classical,10.58,B5e,,1,3.246875,66.32206388888889,10.0,Gaia EDR3 528183090813390848,1.2645,-1.866,-0.102,0.069,6.54,10.284974,10.772136,9.61607,,119.0785168224,3.7384154111,,2.1657742900224127e-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
11,BD+61 39,Classical,8.85,B0.5IVe,,178,5.072666666666667,62.46386666666667,11.0,Gaia EDR3 430511789300158720,0.411,-3.302,0.533,0.118,18.6,8.904564,8.980373,8.684611,,119.3406755287,-0.1904859173,,7.722842784108185e-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
12,IPHAS J002441.72+642137.9,Classical,,B5III,,0,6.1738333333333335,64.36053055555556,12.0,Gaia EDR3 431186614557938560,0.1689,-1.427,-0.496,0.0,0.0,14.771651,15.575403,13.869103,,120.0431667187,1.6387632338,,3.4749006626702445e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
