#,Be star,Category,V,SpecType,vsini,Nb of spectra in BeSS,_RAJ2000,_DEJ2000,_q,DR2Name,pmRA,pmDE,epsi,sepsi,Gmag,BPmag,RPmag,AG,RV,GLON,GLAT,Teff,Lum,Rad,Plx,Gflux,Name,Type,Pos,Opt,r_Opt,l_Vmag,Vmag,Vmagl,u_Vmag,B-V,u_B-V,B-Vl,U-B,E_B-V_,E_B-V_2,u_E_B-V_,r_Vmag,Jmag,l_Hmag,Hmag,l_Kmag,Kmag,l_FX,FX,FXu,Range,r_FX,Porb,u_Porb,Ppulse,u_Ppulse,r_Porb,SpType,Name2,Name3,Name4,Simbad,_4XMM,Flux1,Flux2,Flux3,Flux4,Flux5,Flux8,Flux9,Cst,Fvar,e_Fvar,Vflag,_2CXO,Fluxb,Fluxh,Fluxm,Fluxs,Fluxu,VaKSb,VaKPb,VaGLb,Vib,HR_21,HR_32,HR_43,HR_54,HR_su,HR_ms,HR_hm,B_ox,flags
1,BD+62 2346,Classical,9.73,B0Ve,,3,0.35291666666666666,63.50436944444444,1.0,b'Gaia DR2 431593257757382912',0.97,-3.83,0.186,13.9,9.3128,9.6309,8.8411,,,117.38675266737,1.17248191362,5880.5,197.252,13.53,0.8406,4.0962773250117186e-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
2,HD 224905,Classical,8.47,B1Vne,,85,0.4109583333333333,60.44992222222222,2.0,b'Gaia DR2 429341153012514176',-3.183,-1.434,0.0,0.0,8.4004,8.4938,8.2417,0.686,,116.82603118642,-1.83017728659,8364.0,,,0.6544,9.491816888865445e-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
3,HD 225095,Classical,7.95,B2IVne,,234,0.863125,55.550897222222225,3.0,b'Gaia DR2 420875841188703360',-2.137,-1.519,0.066,1.7,7.8924,7.8903,7.8951,0.3683,,116.13327877423,-6.68616184481,9438.0,,,0.7693,1.5154770065123437e-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
4,2 Cet,Classical,4.543,B9IVne,,95,0.9349583333333333,-17.335991666666665,4.0,b'Gaia DR2 2414783622022208128',25.559,-9.18,1.089,539.0,4.4777,4.5194,4.5477,0.351,,72.10085095992,-75.26180724955,9336.67,,,10.5931,3.519081714499099e-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
5,10 Cas,Classical,5.567,B9IIIe,125.0,292,1.6105833333333333,64.19616944444445,5.0,b'Gaia DR2 431696822314371456',9.036,0.804,0.38,56.0,5.524,5.5435,5.5236,0.441,,118.05865599548,1.75097859121,9440.5,,,3.2932,1.34248472041285e-11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
6,BD+59 2829,Classical,9.86,B1Ve,,2,1.70125,60.600230555555555,6.0,b'Gaia DR2 429302051629352960',-3.383,-1.546,0.0,0.0,9.6424,9.9159,9.2037,1.3063,,117.47798376062,-1.79802369479,6293.0,763.069,23.24,0.3649,3.023774160295929e-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
7,BD+62 1,Classical,10.46,B2IVpe,,2,1.8881250000000003,63.080327777777775,7.0,b'Gaia DR2 431515810905725952',-3.071,-0.864,0.0,0.0,10.294,10.4833,9.9547,1.2973,,117.98857282349,0.63053855837,7147.67,561.981,15.46,0.3157,1.6592405446327317e-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
8,BD+62 11,Classical,9.6,B5Ve,,6,2.6955,63.17293611111111,8.0,b'Gaia DR2 431350373076175744',-0.363,-2.457,0.124,6.03,9.3968,9.5487,9.1022,1.172,,118.36380291321,0.66233908361,7682.0,582.967,13.63,0.4741,3.7913104807835015e-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
9,V742 Cas,Classical,7.08,B5IIe,,205,2.9047916666666667,58.21182777777778,9.0,b'Gaia DR2 422858810408804864',0.895,-2.462,0.137,7.18,6.9924,7.1234,6.7727,,,117.69260783405,-4.25429186154,7869.0,753.143,14.77,1.2718,3.471757252732467e-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
10,EM* AS 2,Classical,10.58,B5e,,1,3.246875,66.32206388888889,10.0,b'Gaia DR2 528183090813390848',-1.772,0.014,0.0,0.0,10.28,10.788,9.6244,0.6457,,119.07851711772,3.73841540967,4957.0,40.572,8.64,1.2572,1.6807741165864708e-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
11,BD+61 39,Classical,8.85,B0.5IVe,,178,5.072666666666667,62.46386666666667,11.0,b'Gaia DR2 430511789300158720',-3.083,0.748,0.0,0.0,8.8952,8.988,8.6895,,,119.34067601694,-0.19048601575,8782.5,,,0.3332,6.017683626847637e-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
12,IPHAS J002441.72+642137.9,Classical,,B5III,,0,6.1738333333333335,64.36053055555556,12.0,b'Gaia DR2 431186614557938560',-1.468,-0.432,0.0,0.0,14.7877,15.5958,13.8772,0.874,,120.04316693825,1.63876327209,4177.5,,,0.1497,2.6450223825383612e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
13,BD+63 48,Classical,9.26,B1IIInne,,2,6.667125,64.43206111111111,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BeSS
14,IPHAS J002758.97+622906.1,Classical,,,,0,6.995708333333333,62.485030555555554,14.0,b'Gaia DR2 430553261502536448',-2.153,-0.484,0.0,0.0,15.0422,15.6095,14.295,,,120.22664694912,-0.26345436177,4861.0,,,0.1956,2.0923259983530278e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
15,BD+55 81,Classical,10.02,B1.5Vnne,,3,7.050166666666667,56.39653611111111,15.0,b'Gaia DR2 421675529736368896',-3.416,-1.776,0.084,3.57,10.0369,10.0723,9.9526,0.624,,119.70089026665,-6.32937745202,9444.75,,,0.4305,2.10256461617332e-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
16,IPHAS J002843.24+615216.2,Classical,,,,0,7.180166666666667,61.87116944444445,16.0,b'Gaia DR2 430234025173785728',-1.647,-0.725,0.0,0.0,14.4893,14.8585,13.9199,,,120.25745447633,-0.8825579721,5210.67,,,0.2137,3.4816839978933263e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
17,IPHAS J002926.93+630450.2,Classical,,B7V B6,,0,7.362208333333333,63.08061111111111,17.0,b'Gaia DR2 430949910320096896',-2.649,-0.725,0.0,0.0,14.1595,14.4473,13.6953,,,120.44612491117,0.31503719987,5787.33,16.751,4.07,0.3104,4.717472220558232e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
18,BD+62 89,Classical,10.25,B0Vpe,,1,7.455208333333333,63.06778055555556,18.0,b'Gaia DR2 430785666465509248',-2.963,-0.809,0.0,0.0,9.8996,10.2039,9.4399,,,120.48695684868,0.29870424873,5990.52,619.05,23.1,0.3613,2.3859940231816117e-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
19,BD+61 105,Classical,9.34,O9Ve,,4,7.83,62.42761111111111,19.0,b'Gaia DR2 430356929957388672',-2.487,-1.523,0.0,0.0,9.1931,9.3521,8.9252,0.888,,120.60622773183,-0.35325316885,7660.0,2597.61,28.94,0.2465,4.573717657519068e-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
20,HD 2789,Classical,8.36,B3Vne,,132,8.011833333333334,67.16113333333334,20.0,b'Gaia DR2 527950234866756352',5.384,1.878,0.0,0.0,8.2373,8.4262,7.9425,1.249,,121.04682522431,4.36038932211,7022.71,93.424,6.53,1.9935,1.1030351481927765e-12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
21,IPHAS J003210.31+623929.2,Classical,,B6,,0,8.042958333333333,62.65811111111111,21.0,b'Gaia DR2 430741381070454272',-2.254,-0.308,0.0,0.0,13.4558,13.7722,12.9384,1.9317,,120.72172264839,-0.1309315943,5707.0,62.585,8.09,0.2226,9.019643063570265e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
22,BD+62 99,Classical,10.94,Be,,2,8.055125,63.20804444444445,22.0,b'Gaia DR2 430779279862524672',-2.973,-0.489,0.0,0.0,10.745,11.007,10.3062,,,120.7683065165,0.41706188701,6276.0,420.401,17.34,0.2959,1.0952401383702738e-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
23,IPHAS J003248.02+664759.6,Classical,,B3III,,0,8.200083333333334,66.79988888888889,23.0,b'Gaia DR2 527920204455592960',-1.553,0.02,0.036,0.252,14.3346,15.2829,13.3704,0.7958,,121.0936013442,3.99467410253,4130.21,,,0.1165,4.014850252676865e-15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
24,RX J0032.9-7348,Classical,,Be,,0,8.233791666666667,-73.8053,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BeSS
25,BD+61 122,Classical,10.39,B2Vpe,,2,8.751291666666667,62.4483,25.0,b'Gaia DR2 430684721859552384',-2.555,-0.591,0.0,0.0,10.577,10.7273,10.2719,1.242,,121.03299876201,-0.36295843868,7648.74,460.263,12.22,0.3095,1.278525373583443e-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
26,EM* AS 3,Classical,10.67,Be,,1,8.926375,68.70729722222222,26.0,b'Gaia DR2 529645887951575808',-1.009,-1.507,0.0,1.05e-15,10.5919,10.8455,10.1924,1.5733,,121.49710618273,5.87936693937,6390.0,35.515,4.86,1.0915,1.2610994940313464e-13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,"BeSS,Gaia"
