angDist,#,Be star,Category,RA,DEC,V,Type,vsini,Nb of spectra in BeSS,_RAJ2000_CXO,_DEJ2000_CXO,2CXO,Fluxb,Fluxh,Fluxm,Fluxs,Fluxu,Fluxw,S/N,NHGal,HRhm,HRhs,HRms
0.049001,52,RX J0049.7-7323,Classical,00 49 41.99,-73 23 14.71,14.98,B2Ve,,0,12.42500346,-73.387415107," J004942.0-732314",3.6398644578282E-14,2.8232364839924E-14,6.3152514844405E-15,1.9918265552461E-15,0.0,,58.367,4.58,0.30106,0.54841,0.29482
0.124204,60,DZ Tuc,Classical,00 50 44.69,-73 16 05.16,15.44,Be,,0,12.686215047,-73.268134447," J005044.6-731605",4.0528414618719E-13,3.5645530817867E-13,3.7660337699568E-14,1.5959001742418E-14,2.6417862020065E-14,,66.336,4.83,0.52467,0.64085,0.17489
0.510026,66,SMC 25,Classical,00 51 52.01,-73 10 33.96,14.45,Be,,0,12.966978554,-73.17621813," J005152.0-731034",5.6989378204315E-13,4.3963088082397E-13,6.8430614320308E-14,7.1651962123379E-14,1.0331558847326E-12,,50.777,5.03,0.35228,0.19613,-0.1674
0.483906,67,2E 0050.1-7247,Classical,00 51 53.17,-72 31 48.50,14.87,Be,,0,12.971246288,-72.53023991," J005153.0-723148",2.8974960592146E-14,2.3013655119467E-14,4.2694109139624E-15,2.1731608378626E-15,0.0,,11.609,6.83,0.37102,0.37726,0.0
0.827826,69,X SMC X-3,Classical,00 52 05.77,-72 26 03.19,14.91,O9IVe,,0,13.023399149,-72.434343041," J005205.6-722603",5.8291374613199E-15,3.9830125504711E-15,6.9385047018141E-16,1.3171534343028E-15,0.0,,38.81,7.15,0.29357,-0.25359,-0.49969
0.257813,71,2E 0050.4-7335,Classical,00 52 13.99,-73 19 18.84,14.67,Be,,0,13.05853852,-73.321910468," J005214.0-731918",7.582223629094E-16,0.0,4.4861724484991E-16,6.3043756612218E-16,0.0,,5.625,4.74,0.34978,-0.08869,-0.41849
0.418282,82,CXOU J005323.8-722715,Classical,00 53 23.90,-72 27 15.12,16.19,Be,,0,13.349516327,-72.45431442," J005323.8-722715",2.4172833862659E-13,2.0689979301993E-13,2.4015664959591E-14,1.1740500071705E-14,3.8704558094081E-15,,33.424,6.98,0.4822,0.58963,0.14741
0.284183,92,Cl* NGC 330 ELS 065055,Classical,00 53 55.34,-72 26 45.30,14.72,B1IIIe,420,0,13.480639219,-72.445993786," J005355.3-722645",6.6965195523638E-15,3.5559678595745E-15,1.5013347562725E-15,1.6729236065701E-15,0.0,,7.359,6.97,-0.03498,-0.30981,-0.27608
0.495231,117,Cl* NGC 330 ELS 016486,Classical,00 54 46.42,-72 25 22.76,15.58,B1IIIe,496,0,13.692969448,-72.423015047," J005446.3-722522",2.4237047554565E-14,2.0432853895998E-14,3.4037848659614E-15,1.1991294635575E-15,0.0,,11.22,6.98,0.36227,0.61087,0.3148
0.487146,228,RX J0057.4-7325,Classical,00 57 27.00,-73 25 19.55,15.67,Be,,0,14.362974102,-73.422093612," J005727.1-732519",8.2139828225397E-13,7.092005504689E-13,7.5932139874396E-14,4.8511352327064E-14,0.0,,18.311,4.72,0.4822,0.51343,0.03998
0.688830,258,RX J0101.3-7211,Classical,01 01 20.81,-72 11 18.96,15.49,Be,,0,15.336083058,-72.18859449," J010120.6-721118",,,,,,0.0,26.797,6.85,,,
0.353052,271,RX J0105.5-7221,Classical,01 04 35.52,-72 21 47.81,15.15,Be,,0,16.147830012,-72.363364013," J010435.4-722148",0.0,0.0,0.0,0.0,,,5.412,5.69,,,
0.582222,512,BD+56 511,Classical,02 18 47.92,57 04 02.09,9.11,B3IIIe,,1,34.699963926,57.06724094," J021847.9+570402",3.4661201855454E-16,0.0,1.4996799585351E-16,7.1610258627535E-17,,,2.818,40.75,-0.12742,-0.81574,-0.29232
0.604185,514,Cl* NGC 869 W 284,Classical,02 18 56.82,57 07 43.21,12.053,B3e,,0,34.736725944,57.128502124," J021856.8+570742",0.0,0.0,,,,,2.421,41.38,0.99938,0.99938,-0.99938
0.930106,516,Cl* NGC 869 LAV 1039,Classical,02 19 08.56,57 03 49.10,12.37,B3e,,0,34.786067555,57.063500173," J021908.6+570348",4.4760247548088E-16,0.0,2.7762715266026E-16,3.459854976208E-16,,,3.636,40.88,-0.90194,-0.99938,-0.36227
0.564247,520,HD 14162,Classical,02 19 27.45,57 08 18.16,9.37,Be,,1,34.86449109,57.138234258," J021927.4+570817",5.2839849472476E-16,0.0,2.2450167368766E-16,2.5684716145528E-16,0.0,,4.294,41.72,-0.27858,-0.67208,-0.43223
0.438561,597,V615 Cas,Classical,02 40 31.67,61 13 45.61,10.8,B0Ve,,5,40.132071074,61.229227041," J024031.6+611345",2.2137570962506E-12,1.9868767982223E-12,2.1074120664767E-13,5.1745586332554E-14,3.7365182249914E-14,,126.436,88.95,0.50843,0.74703,0.38601
0.839401,682,GSC 02342-00359,Classical,03 29 10.32,31 21 59.51,14.25,B5e,,0,52.293230863,31.36640602," J032910.3+312159",2.7998386543635E-13,1.9443648839787E-13,7.7173458000748E-14,1.2505027691389E-14,6.0492097896565E-14,,44.098,14.77,0.04372,0.53467,0.50219
0.142183,688,BQ Cam,Classical,03 34 59.89,53 10 23.59,11.3,Be,,0,53.749592622,53.173194404," J033459.9+531023",2.1786870269256E-14,1.2031261738186E-14,9.5545542425461E-15,1.3272187221409E-15,,,3.818,81.78,-0.27358,0.49219,0.65834
0.609736,695,MEROPE,Classical,03 46 19.57,23 56 54.08,4.164,B6IVe,240,744,56.581696611,23.948262634," J034619.6+235653",2.0433339370092E-13,0.0,2.2362840281645E-14,1.7991207542327E-13,0.0,,20.383,10.83,-0.84072,-0.98314,-0.81199
0.946581,772,25 Ori,Classical,05 24 44.83,01 50 47.20,4.873,B1Vpe,263,447,81.186701721,1.846197351," J052444.8+015046",1.8548156548899E-14,1.5969529216708E-14,5.3031642869187E-16,2.7546774484586E-15,0.0,,2.526,11.14,0.64335,-0.28607,-0.77701
