angDist,#,Be star,Category,RA,DEC,V,Type,vsini,Nb of spectra in BeSS,gaia_id,_RAJ2000_gaia2dis,_DEJ2000_gaia2dis,rest
0.079702,1,BD+62 2346,Classical,00 01 24.70,63 30 15.73,9.73,B0Ve,,3,431593257757382000,0.35290285715,63.50434817961,1153.44214347856
0.022455,2,HD 224905,Classical,00 01 38.63,60 26 59.72,8.47,B1Vne,,85,429341153012514000,0.41095008342,60.44991749452,1465.67992431575
0.05686,3,HD 225095,Classical,00 03 27.15,55 33 03.23,7.95,B2IVne,,234,420875841188703000,0.86309871119,55.55089190034,1254.41947882693
0.387966,4,2 Cet,Classical,00 03 44.39,-17 20 09.57,4.543,B9IVne,,95,2414783622022200000,0.93506376866,-17.33603019488,94.25536994702
0.129232,5,10 Cas,Classical,00 06 26.54,64 11 46.21,5.567,B9IIIe,125,292,431696822314371000,1.61066378303,64.19616155053,301.38782757868
0.013493,6,BD+59 2829,Classical,00 06 48.30,60 36 00.83,9.86,B1Ve,,2,429302051629352000,1.70124375376,60.60022840007,2530.99626295170
0.141298,7,BD+62 1,Classical,00 07 33.15,63 04 49.18,10.46,B2IVpe,,2,431515810905725000,1.88805102393,63.08030731311,2893.31223470786
0.028089,8,BD+62 11,Classical,00 10 46.92,63 10 22.57,9.6,B5Ve,,6,431350373076175000,2.69550462168,63.17292859248,1990.77962306864
0.038815,9,V742 Cas,Classical,00 11 37.15,58 12 42.58,7.08,B5IIe,,205,422858810408804000,2.90478289302,58.21181803674,770.51372852485
0.053742,10,EM* AS 2,Classical,00 12 59.25,66 19 19.43,10.58,B5e,,1,528183090813390000,3.24683825330,66.32206614253,778.06547971765
0.154889,11,BD+61 39,Classical,00 20 17.44,62 27 49.92,8.85,B0.5IVe,,178,430511789300158000,5.07257742561,62.46387887330,2750.16607638071
0.427299,12,IPHAS J002441.72+642137.9,Classical,00 24 41.72,64 21 37.91,,B5III,,0,431186614557938000,6.17390015852,64.36041543752,5324.82050885951
0.066978,14,IPHAS J002758.97+622906.1,Classical,00 27 58.97,62 29 06.11,,,,0,430553261502536000,6.99566810452,62.48502969357,4360.37626111264
0.088116,15,BD+55 81,Classical,00 28 12.04,56 23 47.53,10.02,B1.5Vnne,,3,421675529736368000,7.05012891241,56.39652336279,2169.29909347859
0.054429,16,IPHAS J002843.24+615216.2,Classical,00 28 43.24,61 52 16.21,,,,0,430234025173785000,7.18013485169,61.87116754526,4035.97720751446
0.076515,17,IPHAS J002926.93+630450.2,Classical,00 29 26.93,63 04 50.20,,B7V B6,,0,430949910320096000,7.36225503831,63.08060896116,2940.33193768148
0.098199,18,BD+62 89,Classical,00 29 49.25,63 04 04.01,10.25,B0Vpe,,1,430785666465509000,7.45514952350,63.06778643135,2558.84789997271
0.036108,19,BD+61 105,Classical,00 31 19.20,62 25 39.40,9.34,O9Ve,,4,430356929957388000,7.82998154523,62.42761636785,3581.66067845541
0.096482,20,HD 2789,Classical,00 32 02.84,67 09 40.08,8.36,B3Vne,,132,527950234866756000,8.01189975241,67.16114065856,494.70205424533
0.086658,21,IPHAS J003210.31+623929.2,Classical,00 32 10.31,62 39 29.20,,B6,,0,430741381070454000,8.04290598404,62.65810995646,3941.72192753363
0.03364,22,BD+62 99,Classical,00 32 13.23,63 12 28.96,10.94,Be,,2,430779279862524000,8.05511222666,63.20805180420,3059.57080746435
0.083864,23,IPHAS J003248.02+664759.6,Classical,00 32 48.02,66 47 59.60,,B3III,,0,527920204455592000,8.20003366853,66.79987624434,6556.74531598880
0.490513,25,BD+61 122,Classical,00 35 00.31,62 26 53.88,10.39,B2Vpe,,2,430684721859552000,8.75146771838,62.44819075823,2942.42022913491
0.073099,26,EM* AS 3,Classical,00 35 42.33,68 42 26.27,10.67,Be,,1,529645887951575000,8.92637826529,68.70727695165,894.52401618814
0.788157,27,IPHAS J003559.27+664503.3,Classical,00 35 59.27,66 45 03.31,,A0V,,0,527749707136081000,8.99668499386,66.75072894500,2279.23262951720
0.557413,28,IPHAS J004014.89+651644.0,Classical,00 40 14.89,65 16 44.00,,B2V,,0,527492700591664000,10.06226907098,65.27876669936,2624.67690980936
0.439488,29,IPHAS J004121.36+650413.5,Classical,00 41 21.36,65 04 13.51,,,,0,527485721264160000,10.33910064574,65.07030497247,3098.82403384301
0.267724,30,EM* MWC 674,Classical,00 42 26.51,64 03 00.17,10.848,B0IIIpe,,1,523961000528617000,10.61028850033,64.05004446083,2629.04468781754
0.104879,31,EM* LkHA 201,Classical,00 43 25.34,61 38 23.39,14.3,B3Ve,,0,427582411138427000,10.85557691663,61.63980158242,2722.90416589150
0.406741,32,EM* LkHA 202,Classical,00 43 49.64,62 15 22.90,14,Be,,0,427629728800278000,10.95706362667,62.25639678087,2097.08657052420
0.09268,34,EM* AS 4,Classical,00 44 42.19,63 54 28.02,10.58,B1IVpe,,1,524037416587647000,11.17574054321,63.90777079516,3815.91943494929
0.286098,35,omi Cas,Classical,00 44 43.52,48 17 03.71,4.477,B5IIIe,195,550,390548351252549000,11.18144148239,48.28433017501,214.22873881369
0.359136,37,IPHAS J004517.05+640124.4,Classical,00 45 17.05,64 01 24.38,,B3V,,0,524039890488762000,11.32109598166,64.02334200700,6612.58992359023
0.422246,38,IPHAS J004620.80+622503.9,Classical,00 46 20.80,62 25 03.90,,,,0,427718273845116000,11.58663477257,62.41763364276,3174.33854227376
0.052177,39,BD+34 113,Classical,00 46 34.44,34 49 43.65,9.9,B2IIIe,,50,362441368008470000,11.64348800358,34.82878103196,538.39213109347
0.388712,40,IPHAS J004651.68+625914.7,Classical,00 46 51.68,62 59 14.71,,B7V,,0,523832941781842000,11.71536484290,62.98731242147,3746.81159984016
0.388432,41,IPHAS J004741.54+624203.3,Classical,00 47 41.54,62 42 03.31,,B7,,0,427748922732488000,11.92310872428,62.70081217707,3475.67661708396
0.46461,42,AX J0048.2-7309,Classical,00 48 13.99,-73 09 38.88,15.3,Be,,0,4685947587891120000,12.05861012699,-73.16089025174,1359.44702489685
0.05628,44,IPHAS J004842.93+644411.1,Classical,00 48 42.93,64 44 11.11,,B6,,0,524416404498339000,12.17888581178,64.73643438124,3425.79352193704
0.031949,45,IPHAS J004850.12+642533.7,Classical,00 48 50.12,64 25 33.71,,,,0,524405752979578000,12.20885079041,64.42602586812,4574.37375077554
0.029673,46,BG Phe,Classical,00 49 01.31,-56 05 49.35,10.18,B5e,,8,4908668373993960000,12.25544358069,-56.09704213980,4721.78143799835
0.085815,52,RX J0049.7-7323,Classical,00 49 41.99,-73 23 14.71,14.98,B2Ve,,0,4685927315640010000,12.42504044518,-73.38741530771,10961.52316981780
0.046829,53,EM* MWC 678,Classical,00 49 48.20,60 59 10.04,9.89,B2Vnnpe,,2,427352819367679000,12.45082175743,60.98611048822,3418.93059372366
0.323842,54,IPHAS J005011.87+635129.9,Classical,00 50 11.87,63 51 29.92,,B5,,0,523977733720370000,12.54947580993,63.85822148504,2774.80549390019
0.321982,55,IPHAS J005011.87+633526.1,Classical,00 50 11.87,63 35 26.09,,B3V,,0,523968044274327000,12.54949886697,63.59049295212,4373.46249110939
0.106723,56,IPHAS J005012.69+645621.6,Classical,00 50 12.69,64 56 21.59,,B5V B5,,0,524443548692482000,12.55280510968,64.93933212027,2799.01375373618
0.013645,57,BD+60 114,Classical,00 50 15.22,60 54 09.20,9.94,B2IIIpe,,4,427350109251718000,12.56340927502,60.90255435309,2510.04691042559
0.291276,58,IPHAS J005029.22+653331.1,Classical,00 50 29.22,65 33 31.10,,B7IV,,0,524559272288846000,12.62180919903,65.55856177561,6073.00133478034
0.078002,59,IPHAS J005032.31+623155.5,Classical,00 50 32.31,62 31 55.49,,,,0,523631490638626000,12.63458185518,62.53207198603,4213.92577767720
0.303066,60,DZ Tuc,Classical,00 50 44.69,-73 16 05.16,15.44,Be,,0,4685928999266930000,12.68629314534,-73.26818056638,9042.69619524802
0.506528,64,RX J0051.3-7250,Classical,00 51 18.70,-72 50 35.88,,Be,,0,4688960627670160000,12.82801115228,-72.84316208605,3552.78891129736
0.014646,65,BD+69 48,Classical,00 51 22.88,70 09 39.08,9.41,B5e,,3,535977494385042000,12.84534168882,70.16085847270,1081.13778406607
0.212675,66,SMC 25,Classical,00 51 52.01,-73 10 33.96,14.45,Be,,0,4685938413838450000,12.96678048482,-73.17615526222,12460.37497000090
0.281787,67,2E 0050.1-7247,Classical,00 51 53.17,-72 31 48.50,14.87,Be,,0,4688984061034520000,12.97140884433,-72.53020624564,7030.85457272174
0.03562,71,2E 0050.4-7335,Classical,00 52 13.99,-73 19 18.84,14.67,Be,,0,4685885980866640000,13.05832513945,-73.32189763040,12300.90892201470
0.018911,72,HD 4931,Classical,00 52 15.45,60 05 23.81,8.72,B8Ve,,63,426872337089185000,13.06436863031,60.08994303812,1716.46770748652
0.530734,73,2E 0051.1-7214,Classical,00 52 55.20,-71 58 05.88,15.53,Be,,0,4689080337014300000,13.23028308053,-71.96841855892,9502.53850247904
0.210923,74,2MASS J00530450-7220495,Classical,00 53 04.53,-72 20 49.30,15.83,B2IIIe,393,0,4689056594433430000,13.26882476214,-72.34708435210,6023.96752648583
0.160851,75,Cl* NGC 330 ELS 049996,Classical,00 53 10.35,-72 20 42.30,15.88,B2IIIe,461,0,4689056628793170000,13.29307032706,-72.34512482359,5731.38528323286
0.066701,76,Cl* NGC 330 ELS 028368,Classical,00 53 11.93,-72 12 04.60,16.61,B2IIIe,499,0,4689061709698570000,13.29965153767,-72.20128424945,5070.49852232643
0.224753,77,Cl* NGC 330 ELS 021152,Classical,00 53 12.66,-72 20 29.50,15.3,B2IIIe,199,0,4689056628793460000,13.30266426161,-72.34158453406,5728.43987985848
0.217338,78,Cl* NGC 330 ELS 083491,Classical,00 53 19.93,-72 22 29.20,15.95,B3IIIe,433,0,4689009418472600000,13.33301375841,-72.37483755523,2886.58086404597
0.243342,79,Cl* NGC 330 ELS 073594,Classical,00 53 21.41,-72 26 08.90,16.13,B2.5IIIe,192,0,4689008250240890000,13.33913776453,-72.43586970814,5860.24584578945
0.131266,80,Cl* NGC 330 ELS 055592,Classical,00 53 22.72,-72 11 55.70,16.68,B3IVe,118,0,4689061812857160000,13.34460217556,-72.19883622835,3847.29357943747
0.254182,81,Cl* NGC 330 ELS 000476,Classical,00 53 23.70,-72 23 43.80,16.36,B2Ve,309,0,4689008593893420000,13.34869651923,-72.39556872851,5329.81331997316
0.388425,82,CXOU J005323.8-722715,Classical,00 53 23.90,-72 27 15.12,16.19,Be,,0,4689005260999710000,13.34942145062,-72.45429622799,6692.14343998252
0.256349,83,2MASS J00532660-7220187,Classical,00 53 26.61,-72 20 18.60,14.97,B2IIIe,185,0,4689010067007620000,13.36082159023,-72.33856933971,5959.53432977329
0.180625,84,Cl* NGC 330 ELS 003789,Classical,00 53 26.69,-72 22 07.40,17.62,B1Ve,492,0,4689009796484680000,13.36116926097,-72.36877098008,3918.35511651822
0.185285,85,Cl* NGC 330 ELS 046388,Classical,00 53 26.98,-72 25 41.40,16.47,B2IVe,330,0,4689008250240840000,13.36239530911,-72.42821772920,5948.73943090963
