angDist,#,Be star,Category,RA,DEC,V,Type,vsini,Nb of spectra in BeSS,_RAJ2000_Gaia,_DEJ2000_Gaia,source_id,parallax,pmra,pmdec,Gflux,Gmag,BPflux,BPmag,RPflux,RPmag,radial_velocity,teff_val,a_g_val,radius_val,lum_val
0.040989,1,BD+62 2346,Classical,00 01 24.70,63 30 15.73,9.73,B0Ve,,3,0.352893497,63.50436467,431593257757382000,0.8406,0.97,-3.83,3.54991E+06,9.312821,1.94171E+06,9.630924,2.33516E+06,8.84113,,5880.5,,13.53,197.252
0.035074,2,HD 224905,Classical,00 01 38.63,60 26 59.72,8.47,B1Vne,,85,0.41097787,60.44992367,429341153012514000,0.6544,-3.183,-1.434,8.22573E+06,8.40043,5.53398E+06,8.493794,4.05603E+06,8.241667,,8364,0.686,,
0.02088,3,HD 225095,Classical,00 03 27.15,55 33 03.23,7.95,B2IVne,,234,0.863114975,55.55089844,420875841188703000,0.7693,-2.137,-1.519,1.31337E+07,7.8924,9.64776E+06,7.890322,5.58140E+06,7.895061,,9438,0.3683,,
0.034022,4,2 Cet,Classical,00 03 44.39,-17 20 09.57,4.543,B9IVne,,95,0.934948488,-17.33599067,2414783622022200000,10.5931,25.559,-9.18,3.04978E+08,4.477696,2.15168E+08,4.519443,1.21814E+08,4.54768,,9336.67,0.351,,
0.043215,5,10 Cas,Classical,00 06 26.54,64 11 46.21,5.567,B9IIIe,125,292,1.610574406,64.19615809,431696822314371000,3.2932,9.036,0.804,1.16345E+08,5.524001,8.37824E+07,5.543507,4.95836E+07,5.523574,,9440.5,0.441,,
0.044451,6,BD+59 2829,Classical,00 06 48.30,60 36 00.83,9.86,B1Ve,,2,1.701273424,60.60023505,429302051629352000,0.3649,-3.383,-1.546,2.62047E+06,9.642416,1.49343E+06,9.915925,1.67217E+06,9.20372,,6293,1.3063,23.24,763.069
0.094643,7,BD+62 1,Classical,00 07 33.15,63 04 49.18,10.46,B2IVpe,,2,1.888080233,63.08031103,431515810905725000,0.3157,-3.071,-0.864,1.43798E+06,10.293984,8.85604E+05,10.48329,8.37336E+05,9.954671,,7147.67,1.2973,15.46,561.981
0.01714,8,BD+62 11,Classical,00 10 46.92,63 10 22.57,9.6,B5Ve,,6,2.69550808,63.17293917,431350373076175000,0.4741,-0.363,-2.457,3.28561E+06,9.396826,2.09452E+06,9.548678,1.83604E+06,9.102216,,7682,1.172,13.63,582.967
0.03066,9,V742 Cas,Classical,00 11 37.15,58 12 42.58,7.08,B5IIe,,205,2.904775582,58.21182864,422858810408804000,1.2718,0.895,-2.462,3.00883E+07,6.99237,1.95516E+07,7.123435,1.56925E+07,6.772693,,7869,,14.77,753.143
0.026853,10,EM* AS 2,Classical,00 12 59.25,66 19 19.43,10.58,B5e,,1,3.246857246,66.32206608,528183090813390000,1.2572,-1.772,0.014,1.45656E+06,10.280043,6.68879E+05,10.788019,1.13499E+06,9.624443,,4957,0.6457,8.64,40.572
0.105802,11,BD+61 39,Classical,00 20 17.44,62 27 49.92,8.85,B0.5IVe,,178,5.07260614,62.46387565,430511789300158000,0.3332,-3.083,0.748,5.21498E+06,8.895235,3.51034E+06,8.988015,2.68527E+06,8.68945,,8782.5,,,
0.427001,12,IPHAS J002441.72+642137.9,Classical,00 24 41.72,64 21 37.91,,B5III,,0,6.173914768,64.3604173,431186614557938000,0.1497,-1.468,-0.432,2.29219E+04,14.787738,7.98417E+03,15.595814,2.25877E+04,13.877241,,4177.5,0.874,,
