angDist,#,Be star,Category,RA,DEC,V,Type,vsini,Nb of spectra in BeSS,_RAJ2000_HMXB,_DEJ2000_HMXB,HMXB_Name,Type,Vmag,Porb,SpType
0.348294,217,gam Cas,Classical,00 56 42.53,60 43 00.27,2.47,B0IVpe,432,9571,14.1770833,60.7166667,2S 0053+604,R,1.6,203.59,B0.5 Ve
0.000053,297,CAS GAM-1,Classical,01 18 31.90,63 44 24.00,15.19,Be,,0,19.6329167,63.7400000,4U 0115+634,"T, P, C",14.5,24.3,B0.2Ve
0.215879,382,V831 Cas,Classical,01 47 00.17,61 21 23.69,11.34,B1IVe,,68,26.7508333,61.3565833,RX J0146.9+6121,,11.45,,B1Ve
0.445937,597,V615 Cas,Classical,02 40 31.67,61 13 45.61,10.8,B0Ve,,5,40.1320833,61.2294444,1E 0236.6+6100,R,10.7,26.496,B0Ve
0.41961,688,BQ Cam,Classical,03 34 59.89,53 10 23.59,11.3,Be,,0,53.7495833,53.1733333,V 0332+53,"T, P, C",15.1,34.25,O8.5Ve
0.506318,765,V420 Aur,Classical,05 22 35.23,37 40 33.64,7.45,B0IVpe,,232,80.6466667,37.6761111,EXO 051910+3737.7,,7.51,,B0 IVpe
0.437678,892,V725 Tau,Classical,05 38 54.57,26 18 56.83,9.19,O9.7IIe,,11,84.7275000,26.3158333,1A 0535+262,"T, P, C",8.9,111,O9.7IIIe
0.759169,928,HD 249179,Classical,05 55 55.05,28 47 06.38,10,B5ne,,2,88.9795833,28.7850000,1H 0556+286,,9.2,,B5ne
0.322477,1448,2E 1118.7-6138,Classical,11 20 57.22,-61 55 00.29,12.12,O9.5IVe,,0,170.2383333,-61.9166667,1A 1118-615,"P, T",12.1,,O9.5Ve
0.177855,1492,V801 Cen,Classical,11 48 00.02,-62 12 24.89,8.94,B1Vne,,4,177.0000000,-62.2069444,2S 1145-619,"P, T",9.3,187.5,B0.2IIIe
0.159034,1533,HD 109857,Classical,12 39 14.58,-75 22 14.14,6.49,B8Vne,,7,189.8108333,-75.3705556,1H 1253-761,,6.49,,B7 Vne
0.209884,1537,BZ Cru,Classical,12 42 50.27,-63 03 31.05,5.316,B0.5IVpe,400,81,190.7095833,-63.0586111,1H 1249-637,,5.31,,B0.5IIIe
0.225235,1552,mu02 Cru,Classical,12 54 36.89,-57 10 07.21,5.113,B5Vne,210,1,193.6537500,-57.1686111,1H 1255-567,,5.17,,B5 Ve
0.800845,1560,V850 Cen,Classical,13 01 17.21,-61 36 06.84,13.4,B2Vne,,0,195.3212500,-61.6019444,4U 1258-61,"P, T?",13.5,133,B0.7Ve
0.766251,1631,4U 1416-62,Classical,14 21 12.79,-62 41 53.88,17.2,Be,,0,215.3037500,-62.6983333,2S 1417-624,"P, T",17.2,42.12,B1Ve
0.294627,1704,HD 141926,Classical,15 54 21.82,-55 19 44.76,8.62,B2nne,,0,238.5908333,-55.3291667,1H 1555-552,,8.6,,B2IIIn
0.00007,1708,[BM83] X1553-542,Classical,15 57 49.00,-54 24 54.00,,Be,,0,239.4541667,-54.4150000,2S 1553-542,P,,30.6,
0.118688,2101,V2246 Cyg,Classical,20 32 15.19,37 38 15.00,19.7,B0Ve,,0,308.0633333,37.6375000,EXO 2030+375,"P, T",19.7,46.02,B0Ve
0.36016,2178,V2175 Cyg,Classical,22 01 38.20,50 10 04.64,9.31,Be,,71,330.4091667,50.1680556,1H 2202+501,,8.8,,Be
0.530411,2185,BD+53 2790,Classical,22 07 56.24,54 31 06.40,9.93,O9.5IIIe,,32,331.9841667,54.5183333,4U 2206+543,C,9.85,9.57,O9.5Ve
0.00007,2213,4U 2238+60,Classical,22 39 20.90,61 16 26.80,,Be,,0,339.8370833,61.2741111,SAX J2239.3+6116,"T, P",15.1,262,B0V-B2IIIe
