angDist,#,Be star,Category,RA,DEC,V,Type,vsini,Nb of spectra in BeSS,main_id,_RAJ2000_Simbad,_DEJ2000_Simbad,main_type,other_types,radvel,redshift,sp_type,plx,pmra,pmdec,B,V,R,J,H,K,u,g,r,i,z
0.053744,2047,25 Cyg,Classical,19 59 55.20,37 02 34.39,5.139,B3IVe,200,1353,*  25 Cyg,299.9799813747,37.0428874749,Be*,Be*|V* |Em*|UV |IR |SB*|*,-14.6,-0.000049,B3IVe,2.4192,0.85,-0.69,5.02,5.19,,5.413,5.484,5.486,,,,,
0.029688,2048,HD 189689,Classical,20 00 07.06,32 47 22.83,7.282,B9e,150,82,HD 189689,300.0294070296,32.7896765408,Be*,Be*|Em*|UV |*  |IR,4,0.000013,B9,1.0163,0.82,-2.18,7.23,7.277,,7.281,7.328,7.308,,,,,
0.078927,2049,HD 333226,Classical,20 00 33.37,30 22 53.22,10.26,B1Ve,,2,HD 333226,300.1390256822,30.3814670445,Be*,Be*|Em*|*  |IR,14,0.000047,B0,0.2237,-2.86,-5.38,10.6,10.26,,9.029,8.928,8.86,,,,,
0.052262,2050,V2103 Cyg,Classical,20 02 01.30,29 35 09.18,9.13,B8Ve,,34,HD 333410,300.5054330511,29.5858805511,Be*,Em*|Be*|V* |*  |IR,22,0.000073,B8V,1.18,-0.96,-4.62,9.18,9.13,,8.863,8.877,8.78,,,,,
0.02567,2052,HD 190150,Classical,20 02 46.43,21 51 15.93,8.29,B9e,300,62,HD 190150,300.6934507024,21.8544241746,Be*,Be*|Em*|UV |*  |IR,0.8,0.000003,B6IV/Ve_sh,1.8169,5.8,-3.85,8.25,8.29,,8.179,8.186,8.006,,,,,
0.055611,2053,HD 333452,Classical,20 03 11.02,28 42 20.44,9.49,B0IIInpe,,2,HD 333452,300.7958990739,28.7056770588,Be*,Em*|Be*|*  |IR,-13,-0.000043,B0,0.4681,-2.84,-5.09,10.28,9.49,,7.31,7.102,6.986,,,,,
0.036761,2054,V1362 Cyg,Classical,20 03 41.60,36 25 32.16,8.18,B5IIne,,199,HD 190467,300.9233208025,36.4255983831,Be*,Be*|V* |Em*|** |UV |*  |IR,1,0.000003,B5II:n,0.9586,-0.51,-5.98,8.27,8.18,,7.763,7.734,7.666,,,,,
0.043768,2055,HD 339483,Classical,20 04 00.75,26 16 16.76,8.98,B1IIIe,,55,HD 339483,301.0031114799,26.2713213098,Be*,Be*|Em*|UV |*  |IR,89.03,0.000297,B3,0.7792,-1.8,-4.1,9.5,8.98,,7.683,7.596,7.539,,,,,
0.025479,2058,HD 190944,Classical,20 05 25.66,46 40 18.55,8.36,B1.5Vne,,81,HD 190944,301.3569267071,46.6718178243,Be*,Em*|*  |Be*|UV |IR,-27,-0.00009,B1.5Vne,0.4875,-3.4,-3.73,8.56,8.34,,7.579,7.419,7.153,,,,,
0.027944,2059,HD 190864,Classical,20 05 39.80,35 36 27.99,7.79,O7IIIe,100,175,HD 190864,301.4158428774,35.6077747906,Em*,*iA|Em*|*  |UV |*iC|IR |**,-2.5,-0.000008,O6.5III(f),0.489,-3.07,-6.5,7.93,7.78,,7.258,7.28,7.265,,,,,
