angDist,#,Be star,Category,RA,DEC,V,Type,vsini,Nb of spectra in BeSS,_RAJ2000_XMM,_DEJ2000_XMM,Source,4XMM,Flux8,HR1,HR2,HR3,HR4,VarFlag
1.073449,52,RX J0049.7-7323,Classical,00 49 41.99,-73 23 14.71,14.98,B2Ve,,0,12.42600111,-73.387425,201100001010003,J004942.2-732314,7.61E-13,0.781369,0.672771,0.141023,-0.024442,0
0.313627,60,DZ Tuc,Classical,00 50 44.69,-73 16 05.16,15.44,Be,,0,12.68631111,-73.26818194,201100001010004,J005044.7-731605,9.69E-13,0.850844,0.628668,0.120864,-0.073112,0
0.075841,66,SMC 25,Classical,00 51 52.01,-73 10 33.96,14.45,Be,,0,12.96667611,-73.17608111,201100001010002,J005152.0-731033,1.89E-12,0.664199,0.297753,-0.034882,-0.193246,1
0.506816,69,X SMC X-3,Classical,00 52 05.77,-72 26 03.19,14.91,O9IVe,,0,13.02369,-72.43431194,205009801010001,J005205.6-722603,1.29E-12,0.662555,0.442941,-0.007716,-0.290036,1
0.58294,82,CXOU J005323.8-722715,Classical,00 53 23.90,-72 27 15.12,16.19,Be,,0,13.34927194,-72.45433194,205009801010002,J005323.8-722715,7.25E-13,0.732062,0.523565,0.084874,-0.236643,1
1.314792,92,Cl* NGC 330 ELS 065055,Classical,00 53 55.34,-72 26 45.30,14.72,B1IIIe,420,0,13.48137806,-72.44564111,205009801010048,J005355.5-722644,6.48E-15,0.726733,0.496659,0.078942,-0.105014,1
0.728114,117,Cl* NGC 330 ELS 016486,Classical,00 54 46.42,-72 25 22.76,15.58,B1IIIe,496,0,13.69321694,-72.42318194,200842001010034,J005446.3-722523,8.01E-14,0.835946,0.78198,0.195384,0.003597,1
1.578314,164,2E 0054.4-7237,Classical,00 56 05.21,-72 22 00.12,15.88,Be,,0,14.02306694,-72.36654889,200842001010019,J005605.5-722159,2.89E-14,0.42769,0.881626,0.055846,-0.489517,0
0.606268,217,gam Cas,Classical,00 56 42.53,60 43 00.27,2.47,B0IVpe,432,9571,14.17688194,60.71668806,206516702010001,J005642.4+604300,2.17E-10,0.600852,0.361398,-0.124144,-0.375511,1
1.854205,248,[HP2004] 39,Classical,01 00 30.19,-72 20 35.16,,Be,,0,15.12581694,-72.342585,201100002010024,J010030.1-722033,5.30E-14,0.824425,0.40335,0.044962,-0.040202,1
0.59504,258,RX J0101.3-7211,Classical,01 01 20.81,-72 11 18.96,15.49,Be,,0,15.33617194,-72.18862,201231102010007,J010120.6-721119,5.36E-13,0.666565,0.450191,0.16765,0.05828,1
0.52958,287,XTE J0111-7317,Classical,01 11 08.40,-73 16 45.84,15.52,B1IVe,,0,17.785375,-73.2795,206012125010015,J011108.4-731646,3.80E-14,0.484245,0.21012,-0.076779,-0.276336,0
1.717746,336,ACHERNAR,Classical,01 37 42.85,-57 14 12.31,0.5,B6Vpe,235,102,24.42781611,-57.23702389,204021201010001,J013742.6-571413,5.84E-13,0.5354,-0.600626,-0.859062,-0.635355,0
0.233107,382,V831 Cas,Classical,01 47 00.17,61 21 23.69,11.34,B1IVe,,68,26.750835,61.35655806,202011601010001,J014700.2+612123,2.54E-11,0.819435,0.725686,0.104715,-0.170784,1
