#,Be star,Category,RA,DEC,V,Type,vsini,Nb of spectra in BeSS
1,BD+62 2346,Classical,00 01 24.70,63 30 15.73,9.73,B0Ve,,3
2,HD 224905,Classical,00 01 38.63,60 26 59.72,8.47,B1Vne,,85
3,HD 225095,Classical,00 03 27.15,55 33 03.23,7.95,B2IVne,,234
4,2 Cet,Classical,00 03 44.39,-17 20 09.57,4.543,B9IVne,,95
5,10 Cas,Classical,00 06 26.54,64 11 46.21,5.567,B9IIIe,125,292
6,BD+59 2829,Classical,00 06 48.30,60 36 00.83,9.86,B1Ve,,2
7,BD+62 1,Classical,00 07 33.15,63 04 49.18,10.46,B2IVpe,,2
8,BD+62 11,Classical,00 10 46.92,63 10 22.57,9.6,B5Ve,,6
9,V742 Cas,Classical,00 11 37.15,58 12 42.58,7.08,B5IIe,,205
10,EM* AS 2,Classical,00 12 59.25,66 19 19.43,10.58,B5e,,1
11,BD+61 39,Classical,00 20 17.44,62 27 49.92,8.85,B0.5IVe,,178
12,IPHAS J002441.72+642137.9,Classical,00 24 41.72,64 21 37.91,,B5III,,0
13,BD+63 48,Classical,00 26 40.11,64 25 55.42,9.26,B1IIInne,,2
14,IPHAS J002758.97+622906.1,Classical,00 27 58.97,62 29 06.11,,,,0
15,BD+55 81,Classical,00 28 12.04,56 23 47.53,10.02,B1.5Vnne,,3
16,IPHAS J002843.24+615216.2,Classical,00 28 43.24,61 52 16.21,,,,0
17,IPHAS J002926.93+630450.2,Classical,00 29 26.93,63 04 50.20,,B7V B6,,0
18,BD+62 89,Classical,00 29 49.25,63 04 04.01,10.25,B0Vpe,,1
19,BD+61 105,Classical,00 31 19.20,62 25 39.40,9.34,O9Ve,,4
20,HD 2789,Classical,00 32 02.84,67 09 40.08,8.36,B3Vne,,132
21,IPHAS J003210.31+623929.2,Classical,00 32 10.31,62 39 29.20,,B6,,0
22,BD+62 99,Classical,00 32 13.23,63 12 28.96,10.94,Be,,2
23,IPHAS J003248.02+664759.6,Classical,00 32 48.02,66 47 59.60,,B3III,,0
24,RX J0032.9-7348,Classical,00 32 56.11,-73 48 19.08,,Be,,0
25,BD+61 122,Classical,00 35 00.31,62 26 53.88,10.39,B2Vpe,,2
26,EM* AS 3,Classical,00 35 42.33,68 42 26.27,10.67,Be,,1
27,IPHAS J003559.27+664503.3,Classical,00 35 59.27,66 45 03.31,,A0V,,0
28,IPHAS J004014.89+651644.0,Classical,00 40 14.89,65 16 44.00,,B2V,,0
29,IPHAS J004121.36+650413.5,Classical,00 41 21.36,65 04 13.51,,,,0
30,EM* MWC 674,Classical,00 42 26.51,64 03 00.17,10.848,B0IIIpe,,1
31,EM* LkHA 201,Classical,00 43 25.34,61 38 23.39,14.3,B3Ve,,0
32,EM* LkHA 202,Classical,00 43 49.64,62 15 22.90,14,Be,,0
33,EM* CDS 78,Classical,00 44 12.91,64 27 43.92,11.422,B1Vpe,,2
34,EM* AS 4,Classical,00 44 42.19,63 54 28.02,10.58,B1IVpe,,1
35,omi Cas,Classical,00 44 43.52,48 17 03.71,4.477,B5IIIe,195,550
36,RX J0045.6-7313,Classical,00 44 58.30,-73 13 45.84,,Be,,0
37,IPHAS J004517.05+640124.4,Classical,00 45 17.05,64 01 24.38,,B3V,,0
38,IPHAS J004620.80+622503.9,Classical,00 46 20.80,62 25 03.90,,,,0
39,BD+34 113,Classical,00 46 34.44,34 49 43.65,9.9,B2IIIe,,50
40,IPHAS J004651.68+625914.7,Classical,00 46 51.68,62 59 14.71,,B7V,,0
41,IPHAS J004741.54+624203.3,Classical,00 47 41.54,62 42 03.31,,B7,,0
42,AX J0048.2-7309,Classical,00 48 13.99,-73 09 38.88,15.3,Be,,0
43,RX J0048.5-7302,Classical,00 48 34.50,-73 02 30.01,14.84,Be,,0
44,IPHAS J004842.93+644411.1,Classical,00 48 42.93,64 44 11.11,,B6,,0
45,IPHAS J004850.12+642533.7,Classical,00 48 50.12,64 25 33.71,,,,0
46,BG Phe,Classical,00 49 01.31,-56 05 49.35,10.18,B5e,,8
47,RX J0049.0-7250,Classical,00 49 05.90,-72 50 54.96,16.92,Be,,0
48,RX J0049.2-7311,Classical,00 49 13.99,-73 11 35.16,16.51,Be,,0
49,EM* MWC 677,Classical,00 49 25.01,63 52 05.16,10.71,B2Vpe,,1
50,RX J0049.5-7310,Classical,00 49 29.59,-73 10 55.92,16.51,Be,,0
51,RX J0049.5-7331,Classical,00 49 33.70,-73 31 23.88,14.64,Be,,0
52,RX J0049.7-7323,Classical,00 49 41.99,-73 23 14.71,14.98,B2Ve,,0
53,EM* MWC 678,Classical,00 49 48.20,60 59 10.04,9.89,B2Vnnpe,,2
54,IPHAS J005011.87+635129.9,Classical,00 50 11.87,63 51 29.92,,B5,,0
55,IPHAS J005011.87+633526.1,Classical,00 50 11.87,63 35 26.09,,B3V,,0
56,IPHAS J005012.69+645621.6,Classical,00 50 12.69,64 56 21.59,,B5V B5,,0
57,BD+60 114,Classical,00 50 15.22,60 54 09.20,9.94,B2IIIpe,,4
58,IPHAS J005029.22+653331.1,Classical,00 50 29.22,65 33 31.10,,B7IV,,0
59,IPHAS J005032.31+623155.5,Classical,00 50 32.31,62 31 55.49,,,,0
60,DZ Tuc,Classical,00 50 44.69,-73 16 05.16,15.44,Be,,0
61,RX J0050.7-7332,Classical,00 50 45.91,-73 32 35.16,,Be,,0
62,RX J0050.9-7310,Classical,00 50 54.31,-73 10 06.96,14.35,Be,,0
63,RX J0051.3-7216,Classical,00 50 55.80,-72 13 54.98,15.05,Be,,0
64,RX J0051.3-7250,Classical,00 51 18.70,-72 50 35.88,,Be,,0
