#,Be star,Category,RA,DEC,V,Type,vsini,Plx,pmRA,pmDE,epsi,sepsi,Gmag,BPmag,RPmag,Tefftemp,Gflux,W1,e_W1,W2,e_W2,W3,e_W3,W4,e_W4,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,_4XMM,Flux1,e_Flux1,Flux2,e_Flux2,Flux3,e_Flux3,Flux4,e_Flux4,Flux5,e_Flux5,Flux8,e_Flux8,Flux9,e_Flux9,HR1,e_HR1,HR2,e_HR2,HR3,e_HR3,HR4,e_HR4,_2CXO,Fluxb,Fluxh,Fluxm,Fluxs,Fluxu,Fluxw,HRhm,HRhs,HRms,NHGal,_2SXPS,CR0,E_CR0,e_CR0,SwiftHR1,SwiftHR2,CR1,e_CR1,CR2,E_CR2,e_CR2,CR3,E_CR3,e_CR3,PcstS0,FPO0,FPU0,Gam1,E_Gam1,e_Gam1,ra,dec
1,BD+62 2346,Classical,00 01 24.70,63 30 15.73,9.73,B0Ve,,0.8427,0.904,-3.903,0.477,314.0,9.334448,9.62206,8.840662,,5.197848222028916e-13,7.559999942779541,0.012000000104308128,7.245999813079834,0.00800000037997961,6.839000225067139,0.014999999664723873,6.0970001220703125,0.04399999976158142,8.501,,8.229,,7.978,0.016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.35291666666666666,63.50436944444444
2,HD 224905,Classical,00 01 38.63,60 26 59.72,8.47,B1Vne,,0.7747,-3.198,-1.531,0.124,14.4,8.410068,8.476914,8.234395,,1.2177989461278792e-12,7.921000003814697,0.008999999612569809,8.032999992370605,0.007000000216066837,8.03600025177002,0.01899999938905239,7.704999923706055,0.11699999868869781,8.106,0.024,8.086,0.033,8.087,0.027,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.4109583333333333,60.44992222222222
3,HD 225095,Classical,00 03 27.15,55 33 03.23,7.95,B2IVne,,0.7951,-1.752,-1.475,0.307,76.8,7.900065,7.871469,7.892114,,1.947945463882122e-12,7.952000141143799,0.014000000432133675,7.770999908447266,0.010999999940395355,5.688000202178955,0.014999999664723873,4.651000022888184,0.026000000536441803,7.266,0.018,7.225,0.046,7.09,0.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.863125,55.550897222222225
4,2 Cet,Classical,00 03 44.39,-17 20 09.57,4.543,B9IVne,,10.5075,25.363,-8.987,0.79,880.0,4.516587,4.507541,4.523403,,4.395092238186166e-11,4.703899743968341,0.00021037746779553203,4.227544068611412,0.0005466394791272059,4.5320000648498535,0.014999999664723873,4.22599983215332,0.026000000536441803,4.151,0.222,4.61,0.029,4.564,0.017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.9349583333333333,-17.335991666666665
5,10 Cas,Classical,00 06 26.54,64 11 46.21,5.567,B9IIIe,125.0,3.407,9.248,0.828,0.472,315.0,5.53836,5.534208,5.504747,,1.7149789503607798e-11,7.074999809265137,0.028999999165534973,5.966000080108643,0.013000000268220901,5.50600004196167,0.014999999664723873,5.2769999504089355,0.03200000151991844,5.463,0.037,5.47,0.044,5.468,0.023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.6105833333333333,64.19616944444445
6,BD+59 2829,Classical,00 06 48.30,60 36 00.83,9.86,B1Ve,,0.4007,-3.425,-1.687,0.079,8.27,9.631721,9.883719,9.179588,,3.9528869491241835e-13,7.76200008392334,0.014000000432133675,7.438000202178955,0.00800000037997961,6.573999881744385,0.01600000075995922,5.673999786376953,0.03400000184774399,8.584,0.024,8.37,0.034,8.109,0.029,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.70125,60.600230555555555
7,BD+62 1,Classical,00 07 33.15,63 04 49.18,10.46,B2IVpe,,0.3515,-3.195,-0.873,0.126,22.2,10.291224,10.46967,9.943698,,2.1533429057630987e-13,8.704000473022461,0.013000000268220901,8.42199993133545,0.00800000037997961,7.867000102996826,0.01899999938905239,7.192999839782715,0.0820000022649765,9.393,0.019,9.193,0.027,8.967,0.021,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.8881250000000003,63.080327777777775
8,BD+62 11,Classical,00 10 46.92,63 10 22.57,9.6,B5Ve,,0.7294,-0.239,-2.743,0.185,45.9,9.402717,9.532551,9.088199,,4.881080766090393e-13,8.626999855041504,0.012000000104308128,8.62600040435791,0.00800000037997961,8.017999649047852,0.019999999552965164,7.014999866485596,0.05900000035762787,8.639,0.027,8.499,0.031,8.329,0.019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.6955,63.17293611111111
9,V742 Cas,Classical,00 11 37.15,58 12 42.58,7.08,B5IIe,,1.4128,0.661,-2.329,0.299,91.7,7.006101,7.104907,6.758527,,4.4377455163715574e-12,5.9770002365112305,0.032999999821186066,5.840000152587891,0.01600000075995922,5.308000087738037,0.014000000432133675,4.563000202178955,0.02500000037252903,6.49,0.019,6.43,0.044,6.332,0.018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.9047916666666667,58.21182777777778
10,EM* AS 2,Classical,00 12 59.25,66 19 19.43,10.58,B5e,,1.2645,-1.866,-0.102,0.069,6.54,10.284974,10.772136,9.61607,,2.1657742900224127e-13,8.397000312805176,0.012000000104308128,8.225000381469727,0.00800000037997961,7.336999893188477,0.017999999225139618,5.914000034332275,0.04800000041723251,8.866,0.027,8.657,0.021,8.477,0.022,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.246875,66.32206388888889
