Results from heasarc_chanmaster: Chandra Observations
Coordinate system:  Equatorial
|obsid|status    |name                |ra         |dec        |time               |detector|grating|exposure|type|pi         |public_date|_Search_Offset|
|14668|archived  |SMC Deep Fields     |00 56 08.60|-72 35 02.5|2013-01-02 12:22:55|ACIS-I  |NONE   |   50060|GO  |Zezas      | 2013-01-03|          14.017 (13.507875,-72.41265833333334)|
| 7155|archived  |SMC                 |00 53 34.50|-72 26 43.2|2006-04-25 05:15:09|ACIS-I  |NONE   |   49950|GO  |Zezas      | 2007-04-28|           2.849 (13.507875,-72.41265833333334)|
|15504|archived  |SMC Deep Fields     |00 56 35.90|-72 20 06.3|2013-09-06 01:43:26|ACIS-I  |NONE   |   49470|GO  |Zezas      | 2013-09-09|          12.553 (13.507875,-72.41265833333334)|
|14671|archived  |SMC Deep Fields     |00 56 35.90|-72 20 06.3|2013-01-07 08:18:42|ACIS-I  |NONE   |   48770|GO  |Zezas      | 2013-01-08|          12.553 (13.507875,-72.41265833333334)|
|15501|archived  |SMC Deep Fields     |00 56 08.60|-72 35 02.5|2013-06-25 19:11:53|ACIS-I  |NONE   |   48770|GO  |Zezas      | 2013-06-26|          14.017 (13.507875,-72.41265833333334)|
|14669|archived  |SMC Deep Fields     |00 52 46.60|-72 42 11.8|2013-03-11 07:15:26|ACIS-I  |NONE   |   48070|GO  |Zezas      | 2013-03-12|          18.327 (13.507875,-72.41265833333334)|
| 7327|archived  |SMC                 |00 53 34.50|-72 26 43.2|2006-04-26 14:57:41|ACIS-I  |NONE   |   48010|GO  |Zezas      | 2007-04-28|           2.849 (13.507875,-72.41265833333334)|
|15502|archived  |SMC Deep Fields     |00 52 46.60|-72 42 11.8|2013-08-26 11:44:39|ACIS-I  |NONE   |   46400|GO  |Zezas      | 2013-08-28|          18.327 (13.507875,-72.41265833333334)|
|13773|archived  |IKT 16              |00 58 16.70|-72 18 06.0|2013-02-09 02:23:57|ACIS-S  |NONE   |   39070|GO  |Ballet     | 2014-02-11|          20.423 (13.507875,-72.41265833333334)|
|19786|archived  |SMC X-3             |00 52 05.60|-72 26 04.2|2016-09-06 19:34:31|ACIS-S  |HETG   |   24040|DDT |Coe        | 2016-12-09|           8.877 (13.507875,-72.41265833333334)|
|22095|archived  |SXP 4.78            |00 51 38.80|-72 17 04.8|2019-03-01 01:07:55|ACIS-S  |NONE   |   15090|DDT |Lutovinov  | 2019-03-01|          13.290 (13.507875,-72.41265833333334)|
|19787|archived  |SMC X-3             |00 52 05.60|-72 26 04.2|2016-09-07 16:25:57|ACIS-S  |HETG   |   15040|DDT |Coe        | 2016-12-09|           8.877 (13.507875,-72.41265833333334)|
| 2946|archived  |SMC                 |00 53 03.40|-72 42 34.5|2002-07-04 06:47:00|ACIS-I  |NONE   |    9440|GO  |Zezas      | 2003-07-09|          18.346 (13.507875,-72.41265833333334)|
| 2948|archived  |SMC                 |00 56 45.20|-72 18 27.0|2002-07-04 09:46:53|ACIS-I  |NONE   |    9410|GO  |Zezas      | 2003-07-09|          13.888 (13.507875,-72.41265833333334)|
| 2947|archived  |SMC                 |00 53 09.50|-72 26 44.0|2002-07-20 23:02:47|ACIS-I  |NONE   |    7770|GO  |Zezas      | 2003-07-24|           4.419 (13.507875,-72.41265833333334)|
| 7279|archived  |SXP4.78             |00 52 38.70|-72 21 04.0|2006-03-03 08:34:48|HRC-I   |NONE   |    1160|GO  |Coe        | 2007-03-03|           7.298 (13.507875,-72.41265833333334)|
| 9912|archived  |h and chi Per       |02 19 02.20|+57 07 12.0|2009-11-11 07:20:00|ACIS-I  |NONE   |  103050|GO  |Micela     | 2010-11-15|   4.506 (34.815000000000005,57.18871944444446)|
|12021|archived  |h and chi Per       |02 19 02.20|+57 07 12.0|2009-11-08 22:58:35|ACIS-I  |NONE   |   52130|GO  |Micela     | 2010-11-15|   4.506 (34.815000000000005,57.18871944444446)|
| 5407|archived  |h and chi Per       |02 19 02.20|+57 07 12.0|2004-12-02 06:28:44|ACIS-I  |NONE   |   41630|GO  |Evans      | 2005-12-08|   4.506 (34.815000000000005,57.18871944444446)|
| 9913|archived  |h and chi Per       |02 19 02.20|+57 07 12.0|2009-10-16 05:56:43|ACIS-I  |NONE   |   37160|GO  |Micela     | 2010-11-15|   4.506 (34.815000000000005,57.18871944444446)|
| 5408|archived  |h and Chi Per       |02 20 32.00|+57 03 28.0|2004-11-28 14:12:17|ACIS-I  |NONE   |    9950|GO  |Evans      | 2005-12-08|  13.008 (34.815000000000005,57.18871944444446)|
|17252|archived  |Pleiades            |03 46 46.00|+24 04 06.0|2015-04-02 08:51:20|ACIS-I  |NONE   |   95080|GO  |Drake      | 2016-04-03|   10.077 (56.87116666666667,24.10513611111111)|
|17251|archived  |Pleiades            |03 46 46.00|+24 04 06.0|2015-03-30 19:21:26|ACIS-I  |NONE   |   50110|GO  |Drake      | 2016-04-01|   10.077 (56.87116666666667,24.10513611111111)|
|17250|archived  |Pleiades            |03 46 46.00|+24 04 06.0|2015-03-27 05:58:48|ACIS-I  |NONE   |   50110|GO  |Drake      | 2016-03-30|   10.077 (56.87116666666667,24.10513611111111)|
|   13|archived  |PLEIADES            |03 46 46.00|+24 04 06.0|1999-09-18 03:16:44|ACIS-I  |NONE   |   34910|GTO |Linsky     | 2001-04-28|   10.077 (56.87116666666667,24.10513611111111)|
|  366|archived  |PLEIADES            |03 46 46.00|+24 04 06.0|2000-03-20 18:09:12|ACIS-I  |NONE   |   21490|GTO |Linsky     | 2001-04-28|   10.077 (56.87116666666667,24.10513611111111)|
| 1967|archived  |SNR 1987A           |05 35 28.00|-69 16 11.1|2000-12-07 19:25:14|ACIS-S  |NONE   |  100030|GO  |McCray     | 2001-12-18|            19.330 (84.56791666666669,-69.0658)|
|16192|archived  |30 Doradus          |05 38 42.40|-69 06 02.9|2014-05-03 04:09:20|ACIS-I  |NONE   |   94960|GO  |Townsley   | 2014-05-06|             3.137 (84.56791666666669,-69.0658)|
|16193|archived  |30 Doradus          |05 38 42.40|-69 06 02.9|2014-05-08 10:14:18|ACIS-I  |NONE   |   76970|GO  |Townsley   | 2014-05-09|             3.137 (84.56791666666669,-69.0658)|
| 4641|archived  |SN 1987A            |05 35 28.00|-69 16 11.1|2004-08-30 08:19:40|ACIS-S  |LETG   |   75460|GO  |McCray     | 2005-09-03|            19.330 (84.56791666666669,-69.0658)|
|15809|archived  |SN 1987A            |05 35 28.00|-69 16 11.1|2014-03-19 05:46:18|ACIS-S  |HETG   |   73090|GO  |Burrows    | 2015-03-20|            19.330 (84.56791666666669,-69.0658)|
|14698|archived  |SN 1987A            |05 35 28.00|-69 16 11.1|2013-09-28 05:31:02|ACIS-S  |HETG   |   71090|GO  |Burrows    | 2014-09-30|            19.330 (84.56791666666669,-69.0658)|
| 5362|archived  |SN 1987A            |05 35 28.00|-69 16 11.1|2004-08-27 15:58:37|ACIS-S  |LETG   |   70180|GO  |McCray     | 2005-09-03|            19.330 (84.56791666666669,-69.0658)|
|14697|archived  |SN 1987A            |05 35 28.00|-69 16 11.1|2013-03-21 20:18:23|ACIS-S  |HETG   |   70090|GO  |Burrows    | 2014-03-26|            19.330 (84.56791666666669,-69.0658)|
| 1387|archived  |SN 1987A            |05 35 28.30|-69 16 13.0|1999-10-06 17:37:24|ACIS-S  |HETG   |   69670|GTO |Garmire    | 2000-11-18|            19.329 (84.56791666666669,-69.0658)|
|16756|archived  |SN 1987A            |05 35 28.00|-69 16 11.1|2015-09-17 17:53:13|ACIS-S  |HETG   |   69080|GO  |Burrows    | 2016-09-22|            19.330 (84.56791666666669,-69.0658)|
|16197|archived  |30 Doradus          |05 38 42.40|-69 06 02.9|2014-06-06 12:31:20|ACIS-I  |NONE   |   68660|GO  |Townsley   | 2014-06-09|             3.137 (84.56791666666669,-69.0658)|
|16757|archived  |SN 1987A            |05 35 28.00|-69 16 11.1|2015-03-14 03:56:52|HRC-S   |LETG   |   68030|GO  |Burrows    | 2016-03-15|            19.330 (84.56791666666669,-69.0658)|
|16196|archived  |30 Doradus          |05 38 42.40|-69 06 02.9|2014-05-30 00:04:49|ACIS-I  |NONE   |   67970|GO  |Townsley   | 2014-06-02|             3.137 (84.56791666666669,-69.0658)|
|16202|archived  |30 Doradus          |05 38 42.40|-69 06 02.9|2014-08-19 15:28:55|ACIS-I  |NONE   |   65960|GO  |Townsley   | 2014-08-21|             3.137 (84.56791666666669,-69.0658)|
|23330|observed  |Brey 84             |05 38 42.03|-69 05 40.7|2020-07-24 11:34:21|ACIS-S  |HETG   |   65940|GTO |Canizares  | 2021-07-29|             2.876 (84.56791666666669,-69.0658)|
|22425|observed  |SNR 1987A           |05 35 28.00|-69 16 11.1|2020-09-12 19:19:53|ACIS-S  |HETG   |   63090|GO  |Burrows    | 2021-09-18|            19.330 (84.56791666666669,-69.0658)|
|16640|archived  |30 Doradus          |05 38 42.40|-69 06 02.9|2014-07-24 11:20:20|ACIS-I  |NONE   |   62470|GO  |Townsley   | 2014-07-25|             3.137 (84.56791666666669,-69.0658)|
|16617|archived  |30 Doradus          |05 38 42.40|-69 06 02.9|2014-05-31 01:25:57|ACIS-I  |NONE   |   59620|GO  |Townsley   | 2014-06-01|             3.137 (84.56791666666669,-69.0658)|
| 4640|archived  |SN 1987A            |05 35 28.00|-69 16 11.1|2004-08-26 05:33:09|ACIS-S  |LETG   |   59170|GO  |McCray     | 2005-09-03|            19.330 (84.56791666666669,-69.0658)|
|16201|archived  |30 Doradus          |05 38 42.40|-69 06 02.9|2014-07-21 22:12:38|ACIS-I  |NONE   |   59140|GO  |Townsley   | 2014-07-22|             3.137 (84.56791666666669,-69.0658)|
