Results from heasarc_xmmmaster: XMM-Newton Master Log & Public Archive
Coordinate system:  Equatorial
|obsid     |status   |name                |ra         |dec        |time               |duration|pi_lname            |pi_fname |public_date|data_in_heasarc|_Search_Offset|
|0740071301|archived |SXP 59.0            |00 54 56.18|-72 26 47.9|2017-04-14 14:31:33|   15827|La Palombara        |Nicola   | 2018-05-09|Y              |        4.576 (13.507875,-72.41265833333334)|
|0500980101|archived |SMC Pointing 6_1    |00 53 02.40|-72 26 17.0|2007-06-23 05:51:00|   25966|Haberl              |Frank    | 2008-07-06|Y              |        4.742 (13.507875,-72.41265833333334)|
|0764050201|archived |SMC HMXBs           |00 53 56.90|-72 30 16.0|2016-03-24 07:55:09|   35800|Sturm               |Richard  | 2017-04-05|Y              |        5.520 (13.507875,-72.41265833333334)|
|0764050101|archived |SMC HMXBs           |00 53 56.90|-72 30 16.0|2015-10-26 03:31:34|   28000|Sturm               |Richard  | 2017-04-05|Y              |        5.520 (13.507875,-72.41265833333334)|
|0793182901|archived |SMC X-3             |00 52 05.64|-72 26 04.2|2016-10-14 14:38:15|   36601|SCHARTEL (PS)       |NORBERT  | 2017-04-20|Y              |        8.874 (13.507875,-72.41265833333334)|
|0601210801|archived |SMC survey 8        |00 56 15.48|-72 21 54.7|2009-10-09 18:32:46|   24916|Haberl              |Frank    | 2010-11-13|Y              |       10.498 (13.507875,-72.41265833333334)|
|0700580101|archived |IGR J00569-7226     |00 56 44.50|-72 25 01.0|2013-11-01 10:21:54|   14800|Coe                 |Malcolm  | 2015-01-09|Y              |       12.285 (13.507875,-72.41265833333334)|
|0084200101|archived |SMC Pointing 1      |00 56 41.70|-72 20 24.0|2002-03-30 13:42:15|   21862|Pietsch             |Wolfgang | 2003-06-24|Y              |       12.858 (13.507875,-72.41265833333334)|
|0831790101|archived |Swift J005139.2-7217|00 51 39.20|-72 17 04.0|2018-11-22 10:07:06|   21999|SCHARTEL (PS)       |NORBERT  | 2019-05-28|Y              |       13.274 (13.507875,-72.41265833333334)|
|0700580701|archived |IGR J00569-7226     |00 57 00.50|-72 24 15.0|2013-12-26 12:05:10|    5200|Coe                 |Malcolm  | 2015-01-09|Y              |       13.505 (13.507875,-72.41265833333334)|
|0700580601|archived |IGR J00569-7226     |00 57 00.50|-72 24 15.0|2013-12-26 13:31:50|   20000|Coe                 |Malcolm  | 2015-01-09|Y              |       13.505 (13.507875,-72.41265833333334)|
|0700580401|archived |IGR J00569-7226     |00 57 00.20|-72 25 57.0|2013-11-20 15:20:46|   27500|Coe                 |Malcolm  | 2015-01-09|Y              |       13.514 (13.507875,-72.41265833333334)|
|0201160201|archived |NGC 869             |02 19 00.00|+57 09 00.0|2004-01-19 04:39:50|   39509|MOTCH               |CHRISTIAN| 2005-02-13|Y              |3.141 (34.815000000000005,57.18871944444446)|
|0671010101|archived |LMC survey 1        |05 29 39.42|-67 27 04.6|2011-12-19 20:41:35|   26920|Haberl              |Frank    | 2013-01-30|Y              |5.827 (82.32583333333334,-67.36030555555557)|
|0402000601|archived |RXJ0529.4-6713      |05 29 25.80|-67 13 24.0|2007-01-28 17:55:00|   21911|Haberl              |Frank    | 2008-03-05|Y              |8.251 (82.32583333333334,-67.36030555555557)|
|0690744401|archived |LMC survey 44       |05 38 28.60|-69 00 28.5|2012-10-23 18:03:19|   44717|Haberl              |Frank    | 2013-11-06|Y              |          3.643 (84.56791666666669,-69.0658)|
|0115690201|archived |LMC                 |05 37 47.00|-69 10 18.0|2000-01-19 15:29:24|   28605|Jansen XMM-Newton PS|Fred     | 2000-03-08|Y              |          6.867 (84.56791666666669,-69.0658)|
|0113020201|archived |PSR J0537-6909      |05 37 47.60|-69 10 20.0|2001-11-19 22:10:38|   38159|Aschenbach          |Bernd    | 2003-02-26|Y              |          6.879 (84.56791666666669,-69.0658)|
|0113020401|archived |PSR J0537-6909      |05 37 47.60|-69 10 20.0|2001-11-19 19:35:10|    8923|Aschenbach          |Bernd    | 2003-02-26|Y              |          6.879 (84.56791666666669,-69.0658)|
|0115740101|archived |LMC field           |05 37 04.01|-69 01 10.9|2000-01-21 13:32:28|    5829|Jansen XMM-Newton PS|Fred     | 2000-03-08|Y              |          7.031 (84.56791666666669,-69.0658)|
|0115740201|archived |xxxxxx              |05 37 04.00|-69 13 00.0|2000-01-21 15:09:37|   58676|Jansen XMM-Newton PS|Fred     | 2000-03-08|Y              |         11.107 (84.56791666666669,-69.0658)|
|0115690301|archived |LMC                 |05 36 57.00|-69 13 47.0|2000-01-20 09:13:57|   22978|Jansen XMM-Newton PS|Fred     | 2000-03-08|Y              |         12.105 (84.56791666666669,-69.0658)|
|0115690401|archived |LMC                 |05 36 57.00|-69 13 47.0|2000-01-20 16:51:55|   14658|Jansen XMM-Newton PS|Fred     | 2000-03-08|Y              |         12.105 (84.56791666666669,-69.0658)|
|0115690101|archived |                    |05 36 57.00|-69 13 47.0|2000-01-20 04:27:52|    2073|Jansen XMM-Newton PS|Fred     | 2000-03-08|Y              |         12.105 (84.56791666666669,-69.0658)|
|0761090901|archived |19 Mon              |07 02 54.77|-04 14 21.2|2015-09-19 16:09:52|   11252|Oskinova            |Lidia    | 2016-10-04|Y              |        0.003 (105.72825,-4.239233333333333)|
|0101440201|archived |IC2602              |10 42 41.00|-64 21 01.0|2002-08-13 05:10:42|   44325|Pallavicini         |Roberto  | 2003-09-16|Y              |       7.549 (160.55883333333333,-64.466425)|
|0840201601|processed|kappa Dra           |12 33 28.91|+69 47 17.6|2019-11-19 07:48:51|    4600|Naze                |Yael     | 2021-01-09|N              |0.003 (188.37058333333331,69.78823611111112)|
|0840200201|processed|kappa Dra           |12 33 28.91|+69 47 17.6|2019-11-19 09:05:31|   13900|Naze                |Yael     | 2021-01-09|N              |0.003 (188.37058333333331,69.78823611111112)|
|0402121701|archived |HD 120324           |13 49 36.98|-42 28 25.4|2007-02-15 11:06:10|   10069|Favata              |Fabio    | 2008-04-03|Y              |       0.001 (207.404125,-42.47373055555556)|
|0820310201|archived |d Lup               |15 35 53.23|-44 57 30.2|2018-08-17 15:35:21|    8000|Naze                |Yael     | 2019-09-04|Y              |       0.003 (233.971875,-44.95838888888889)|
|0840200901|processed|Sheliak             |18 50 04.78|+33 21 45.6|2019-09-18 14:27:00|    8000|Naze                |Yael     | 2020-12-01|N              |            0.005 (282.52,33.36266944444444)|
|0840201201|processed|Sheliak             |18 50 04.78|+33 21 45.6|2019-09-18 12:00:20|    8800|Naze                |Yael     | 2020-12-01|N              |            0.005 (282.52,33.36266944444444)|
|0840201501|processed|Sheliak             |18 50 04.78|+33 21 45.6|2019-10-13 03:19:44|    8150|Naze                |Yael     | 2020-12-01|N              |            0.005 (282.52,33.36266944444444)|
|0802450501|archived |2MASX J20145928+252 |20 14 59.24|+25 23 01.0|2017-11-18 12:20:38|   44800|Ricci               |Claudio  | 2018-12-03|Y              |        13.054 (303.81625,25.59195833333333)|
|0820310501|archived |59 Cyg              |20 59 49.56|+47 31 15.4|2018-05-17 09:14:17|   14000|Naze                |Yael     | 2019-05-30|Y              |                   0.000 (314.9565,47.52095)|


