#,Be star,Category,RA,DEC,V,Type,vsini,Nb of spectra in BeSS,_RAJ2000_Gaia,_DEJ2000_Gaia,source_id,parallax,pmra_x,pmdec_x,Gflux,Gmag,BPflux,BPmag,RPflux,RPmag,radial_velocity,teff_val,a_g_val,radius_val,lum_val,gaia_id,_RAJ2000_gaia2dis,_DEJ2000_gaia2dis,rest,main_id,_RAJ2000_Simbad,_DEJ2000_Simbad,main_type,other_types,radvel,redshift,sp_type,plx,pmra_y,pmdec_y,B,V.1,R,J,H,K,u,g,r,i,z,_RAJ2000_CXO,_DEJ2000_CXO,2CXO,Fluxb,Fluxh,Fluxm,Fluxs,Fluxu,Fluxw,S/N,NHGal,HRhm,HRhs,HRms,_RAJ2000_XRT,_DEJ2000_XRT,2SXPS,CR0,HR_1,HR_2,PcstS0,FPO0,FPU0,_RAJ2000_XMM,_DEJ2000_XMM,Source,4XMM,Flux8,HR1,HR2,HR3,HR4,VarFlag,_RAJ2000_HMXB,_DEJ2000_HMXB,HMXB_Name,Type.1,Vmag,Porb,SpType,epsi,sepsi,Class,Flux1,Flux2,Flux3,Flux4,Flux5
1,BD+62 2346,Classical,00 01 24.70,63 30 15.73,9.73,B0Ve,,3,0.35289349700000006,63.50436467,4.31593257757382e+17,0.8406,0.97,-3.83,3549910.0,9.312821000000001,1941710.0,9.630924,2335160.0,8.84113,,5880.5,,13.53,197.252,4.31593257757382e+17,0.35290285715,63.50434817961,1153.44214347856,BD+62  2346,0.3528934969,63.5043646703,Be*,Em*|Be*|*  |UV |IR,-45.0,-0.00015,B0V,0.8406,0.97,-3.83,10.107000000000001,9.73,9.31,,,7.978,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.18600000000000003,13.9,Em,,,,,
2,HD 224905,Classical,00 01 38.63,60 26 59.72,8.47,B1Vne,,85,0.41097787,60.44992367,4.29341153012514e+17,0.6544,-3.1830000000000003,-1.4340000000000002,8225730.0,8.40043,5533980.0,8.493794,4056030.0,8.241667,,8364.0,0.6859999999999999,,,4.29341153012514e+17,0.41095008342,60.449917494519994,1465.6799243157502,HD 224905,0.41097786950000004,60.449923668500006,Be*,Em*|*  |IR |Be*|UV |*,-16.9,-5.6000000000000006e-05,B2,0.6544,-3.18,-1.43,8.58,8.4,,8.106,8.086,8.087,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,Em,,,,,
3,HD 225095,Classical,00 03 27.15,55 33 03.23,7.95,B2IVne,,234,0.863114975,55.55089844,4.20875841188703e+17,0.7693,-2.137,-1.5190000000000001,13133700.0,7.8924,9647760.0,7.890322,5581400.0,7.895061,,9438.0,0.3683,,,4.20875841188703e+17,0.86309871119,55.550891900340005,1254.4194788269301,HD 225095,0.863114975,55.550898438800004,Em*,UV |*  |IR |Em*,-41.0,-0.00013700000000000002,B2IVne,0.7693,-2.14,-1.52,7.89,7.91,,7.266,7.225,7.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.066,1.7,Em,,,,,
4,2 Cet,Classical,00 03 44.39,-17 20 09.57,4.543,B9IVne,,95,0.934948488,-17.33599067,2.4147836220222e+18,10.5931,25.559,-9.18,304978000.0,4.477696,215168000.0,4.519443,121814000.0,4.547680000000001,,9336.67,0.35100000000000003,,,2.4147836220222e+18,0.93506376866,-17.33603019488,94.25536994702,*   2 Cet,0.9349493417,-17.335992205,Star,IR |UV |*  |blu,8.0,2.7000000000000002e-05,B9IVn,11.98,25.17,-9.16,4.4830000000000005,4.5360000000000005,,4.151,4.61,4.564,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.089,539.0,Star,,,,,
5,10 Cas,Classical,00 06 26.54,64 11 46.21,5.567,B9IIIe,125.0,292,1.610574406,64.19615809,4.31696822314371e+17,3.2932,9.036,0.804,116345000.0,5.524001,83782400.0,5.543507,49583600.0,5.523574,,9440.5,0.441,,,4.31696822314371e+17,1.6106637830300001,64.19616155053001,301.38782757867995,*  10 Cas,1.610574406,64.1961580868,Be*,IR |V* |Em*|Be*|*  |UV,-0.9,-3e-06,B9IIIe,3.2932,10.46,0.1,5.56,5.59,,5.462999999999999,5.47,5.468,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.38,56.0,Em,,,,,
6,BD+59 2829,Classical,00 06 48.30,60 36 00.83,9.86,B1Ve,,2,1.701273424,60.60023505,4.29302051629352e+17,0.3649,-3.383,-1.546,2620470.0,9.642416,1493430.0,9.915925,1672170.0,9.20372,,6293.0,1.3063,23.24,763.069,4.29302051629352e+17,1.7012437537600003,60.60022840007,2530.9962629517,BD+59  2829,1.7012734235,60.6002350545,Be*,Em*|Be*|IR |*  |UV |*,,,B0,0.3649,-3.38,-1.55,10.14,9.9,,8.584,8.37,8.109,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,Em,,,,,
7,BD+62 1,Classical,00 07 33.15,63 04 49.18,10.46,B2IVpe,,2,1.8880802330000002,63.08031103,4.31515810905725e+17,0.3157,-3.071,-0.8640000000000001,1437980.0,10.293984,885604.0,10.48329,837336.0,9.954671000000001,,7147.67,1.2973,15.46,561.981,4.31515810905725e+17,1.8880510239300001,63.08030731311,2893.31223470786,BD+62     1,1.8880802333000002,63.0803110335,Be*,Em*|IR |Be*|*  |UV,,,B2IV,0.3157,-3.07,-0.86,10.74,10.4,,9.392999999999999,9.193,8.967,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,Em,,,,,
8,BD+62 11,Classical,00 10 46.92,63 10 22.57,9.6,B5Ve,,6,2.69550808,63.17293917,4.31350373076175e+17,0.4741,-0.363,-2.457,3285610.0,9.396825999999999,2094520.0,9.548678,1836040.0,9.102216,,7682.0,1.172,13.63,582.967,4.31350373076175e+17,2.69550462168,63.17292859248,1990.77962306864,BD+62    11,2.6955080802999998,63.1729391722,Be*,Em*|IR |Be*|*  |UV,-42.0,-0.00014,B5V,0.4741,-0.36,-2.46,9.82,9.6,,8.639,8.499,8.329,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.124,6.03,Em,,,,,
9,V742 Cas,Classical,00 11 37.15,58 12 42.58,7.08,B5IIe,,205,2.904775582,58.21182864,4.22858810408804e+17,1.2718,0.895,-2.4619999999999997,30088300.0,6.992369999999999,19551600.0,7.123435000000001,15692500.0,6.772692999999999,,7869.0,,14.77,753.143,4.22858810408804e+17,2.9047828930199997,58.21181803674,770.51372852485,HD    698,2.9047755817,58.2118286371,Be*,V* |IR |Be*|*  |SB*|UV |Em*,-23.5,-7.8e-05,B7:Ib-II(e),1.2718,0.9,-2.46,7.26,7.08,,6.49,6.43,6.332000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.13699999999999998,7.18,Em,,,,,
10,EM* AS 2,Classical,00 12 59.25,66 19 19.43,10.58,B5e,,1,3.2468572460000003,66.32206608,5.2818309081339e+17,1.2572,-1.7719999999999998,0.013999999999999999,1456560.0,10.280043,668879.0,10.788019,1134990.0,9.624443,,4957.0,0.6457,8.64,40.571999999999996,5.2818309081339e+17,3.2468382533,66.32206614253,778.06547971765,EM* AS    2,3.2468572460000003,66.3220660809,Em*,IR |EmO|*  |Em*,,,B5:e,1.2572,-1.77,0.01,11.22,10.58,,8.866,8.657,8.477,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,Em,,,,,
