BeSS #,Name,RA,Dec,Class,Gmag,epsi,dist,Catalogs,Literature classification,Reference
52,RX J0049.7-7323,00 49 41.99,-73 23 14.71,HMXB,14.825013,0.074,10961.52317,"Gaia, 2CXO, 4XMM",Be/XRB,http://articles.adsabs.harvard.edu/pdf/2000A%26A...359..573H
60,DZ Tuc,00 50 44.69,-73 16 05.16,HMXB,15.356619,0.119,9042.696195,"Gaia, 2CXO, 4XMM, 2SXPS",Be/Xray pulsar,https://ui.adsabs.harvard.edu/abs/2006Ap%26SS.305..133L/abstract
66,SMC 25,00 51 52.01,-73 10 33.96,HMXB,14.351566,0.207,12460.37497,"Gaia, 2CXO, 4XMM",Be/Xray pulsar,https://ui.adsabs.harvard.edu/abs/2006AJ....132..919S/abstract
67,2E 0050.1-7247,00 51 53.17,-72 31 48.50,HMXB,14.812205,0.319,7030.854573,"Gaia, 2CXO",Be/XRB,https://ui.adsabs.harvard.edu/abs/1997ApJ...484L.141I/abstract
69,X SMC X-3,00 52 05.77,-72 26 03.19,,,,,"2CXO, 4XMM",?,
71,2E 0050.4-7335,00 52 13.99,-73 19 18.84,HMXB,14.600782,0.169,12300.90892,"Gaia, 2CXO",Be/XRB pulsar,https://ui.adsabs.harvard.edu/abs/2018cosp...42E2127M/abstract
82,CXOU J005323.8-722715,00 53 23.90,-72 27 15.12,HMXB,16.208595,0.195,6692.14344,"Gaia, 2CXO, 4XMM, 2SXPS",Be/Xray pulsar,https://ui.adsabs.harvard.edu/abs/2006AJ....132..919S/abstract
92,Cl* NGC 330 ELS 065055,00 53 55.34,-72 26 45.30,HMXB,14.696922,0.209,8356.617282,"Gaia, 2CXO, 4XMM, 2SXPS",X-ray pulsar,https://ui.adsabs.harvard.edu/abs/2007ATel.1316....1S/abstract
117,Cl* NGC 330 ELS 016486,00 54 46.42,-72 25 22.76,HMXB,15.493979,0.142,7532.261814,"Gaia, 2CXO, 4XMM",?,https://ui.adsabs.harvard.edu/abs/2010ATel.2998....1S/abstract
164,2E 0054.4-7237,00 56 05.21,-72 22 00.12,,,,,4XMM,Be/Xray pulsar,https://ui.adsabs.harvard.edu/abs/2006AJ....132..919S/abstract
217,gam Cas,00 56 42.53,60 43 00.27,Em*,1.824674,5.731,,"Gaia, 4XMM",gamma Cas,https://ui.adsabs.harvard.edu/abs/1978ApJ...220..940P/abstract
228,RX J0057.4-7325,00 57 27.00,-73 25 19.55,HMXB,15.631184,0.222,4952.260995,"Gaia, 2CXO",?,https://ui.adsabs.harvard.edu/abs/2000PASJ...52L..53Y/abstract
248,[HP2004] 39,01 00 30.19,-72 20 35.16,,,,,4XMM,HMXB?,https://ui.adsabs.harvard.edu/abs/2003A%26A...403..901S/abstract
258,RX J0101.3-7211,01 01 20.81,-72 11 18.96,HMXB,15.649716,0.317,7108.137548,"Gaia, 2CXO, 4XMM, 2SXPS",Be/XRB,https://ui.adsabs.harvard.edu/abs/2001A%26A...369L..29S/abstract
